statement national reference no: 918524, date: 28.02.2015, salesperiode: 01.02.2015-28.02.2015

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06252;V.A./MelodicaCompilation1;20 / 20;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06254;KidDecker/YourKind;38 / 38;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06255;Binoculers/EverySeaman s...;23 / 23;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06261;OwlsOfTheSwamp/GoWithRiver;76 / 76;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06263;V.A./MelodicaCompilation2;54 / 54;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;124 / 120;0 / 0;4 / 5,388 / 3,664;14,66;0;0 / 0,000 / 0,000;-0,00;0;14,66
CD 06267;LizHanley/TheEcstasy...;28 / 28;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06270;St.Allen/WreckThe...;29 / 29;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06272;OwlsOfTheSwamp/Atlas;119 / 124;0 / 0;0 / 0,000 / 0,000;0,00;0;5 / 7,300 / 4,964;-24,82;0;-24,82
CD 06275;FrogbellyAndSymphony/BlueBright...;0 / 0;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 13906;EmmyMoll/AllTheMonsters;9 / 7;0 / 0;2 / 3,296 / 2,241;4,48;0;0 / 0,000 / 0,000;-0,00;0;4,48
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13913;J.Ufer/KopfInDenSternen;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 05257;Binoculers/EverySeaman s...;9 / 9;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06268;Frogbelly.../TheEye;36 / 36;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);46 / 45;0 / 0;1 / 8,997 / 6,118;6,12;0;0 / 0,000 / 0,000;-0,00;0;6,12
LP 06274;M.Bisi/Ex-Nihilo;45 / 45;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;15 / 15;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;8 / 8;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
7;25,26;5;-24,82;0,44;-1,09;0;-7,58;21,16;0,00;0,00;0,00;12,92 EUR


statement international reference no: 918524, date: 28.02.2015, salesperiode: 01.02.2015-28.02.2015


total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
0;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00 EUR



statement downloads reference no: 918524, date: 28.02.2015, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06256;TONFANG;The Piss;Middleman (4Track Mix);Spotify;1 / 0,003 / 0,002;0,00
7" 06256;TONFANG;The Piss;Jess;Spotify;1 / 0,008 / 0,006;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);The Flowers Are Gone;iTunes;1 / 0,600 / 0,480;0,48
7" 06271;LONESOME STATION;Lonesome Station (+ CD);What We ve Said;iTunes;1 / 0,600 / 0,480;0,48
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Just Look;iTunes;1 / 0,600 / 0,480;0,48
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Happy in the Dark;iTunes;1 / 0,600 / 0,480;0,48
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Dmand;iTunes;1 / 0,600 / 0,480;0,48
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;Napster;6 / 0,007 / 0,005;0,03
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;iTunes;1 / 0,600 / 0,480;0,48
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Long Day;iTunes;1 / 0,600 / 0,480;0,48
7" 06271;LONESOME STATION;Lonesome Station (+ CD);22h;iTunes;1 / 0,600 / 0,480;0,48
7" 06271;LONESOME STATION;Lonesome Station (+ CD);The Flowers Are Gone;Spotify;1 / 0,000 / 0,000;0,00
CD 06251;KID DECKER ;Reveries EP;Memories And Plans;Rdio;1 / 0,005 / 0,004;0,00
CD 06251;KID DECKER ;Reveries EP;Reveries;Rdio;2 / 0,005 / 0,004;0,01
CD 06251;KID DECKER ;Reveries EP;Reveries;Xbox Music;6 / 0,002 / 0,001;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Deezer;1 / 0,003 / 0,002;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Xbox Music;5 / 0,002 / 0,001;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;simfy;1 / 0,019 / 0,015;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Rdio;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Xbox Music;12 / 0,002 / 0,001;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Deezer;2 / 0,006 / 0,005;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Spotify;2 / 0,001 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Spotify;1 / 0,001 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Deezer;1 / 0,011 / 0,009;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Spotify;2 / 0,004 / 0,003;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Xbox Music;1 / 0,002 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Spotify;1 / 0,001 / 0,000;0,00
CD 06254;KID DECKER ;Your Kind;Too Late;Rdio;1 / 0,005 / 0,004;0,00
CD 06254;KID DECKER ;Your Kind;Your Kind;Xbox Music;1 / 0,002 / 0,001;0,00
CD 06254;KID DECKER ;Your Kind;Too Late;Xbox Music;1 / 0,002 / 0,001;0,00
CD 06254;KID DECKER ;Your Kind;The Munchkins;Xbox Music;1 / 0,002 / 0,001;0,00
CD 06254;KID DECKER ;Your Kind;Look About Ready;Rdio;2 / 0,005 / 0,004;0,01
CD 06254;KID DECKER ;Your Kind;Here We Are;Rdio;12 / 0,005 / 0,004;0,05
CD 06254;KID DECKER ;Your Kind;Falling;Xbox Music;3 / 0,002 / 0,001;0,00
CD 06254;KID DECKER ;Your Kind;Falling;Rdio;1 / 0,005 / 0,004;0,00
CD 06254;KID DECKER ;Your Kind;Disposable;Rdio;2 / 0,005 / 0,004;0,01
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Xbox Music;2 / 0,002 / 0,001;0,00
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Rdio;2 / 0,005 / 0,004;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;simfy;1 / 0,019 / 0,015;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Rdio;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;simfy;1 / 0,019 / 0,015;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Paintbox;Napster;1 / 0,006 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Rdio;4 / 0,005 / 0,004;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Napster;1 / 0,006 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;simfy;1 / 0,019 / 0,015;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Rdio;3 / 0,005 / 0,004;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Napster;1 / 0,006 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;iTunes;1 / 0,170 / 0,136;0,14
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;simfy;1 / 0,019 / 0,015;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Rdio;3 / 0,005 / 0,004;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Napster;1 / 0,006 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;simfy;1 / 0,019 / 0,015;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;Rdio;2 / 0,005 / 0,004;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;Rdio;2 / 0,005 / 0,004;0,01
CD 06257;STOCK, TORBEN;Rocket;Tonight;Spotify;1 / 0,008 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Truth;Spotify;1 / 0,008 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Wolkenstein;Spotify;1 / 0,008 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Conamara Instr,;Spotify;1 / 0,008 / 0,006;0,01
