statement national reference no: 918736, date: 31.03.2015, salesperiode: 01.03.2015-31.03.2015

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06252;V.A./MelodicaCompilation1;20 / 20;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06254;KidDecker/YourKind;38 / 38;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06255;Binoculers/EverySeaman s...;23 / 24;0 / 0;0 / 0,000 / 0,000;0,00;0;1 / 8,112 / 5,516;-5,52;0;-5,52
CD 06261;OwlsOfTheSwamp/GoWithRiver;76 / 76;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06263;V.A./MelodicaCompilation2;54 / 54;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;120 / 119;0 / 0;1 / 5,388 / 3,664;3,66;0;0 / 0,000 / 0,000;-0,00;0;3,66
CD 06267;LizHanley/TheEcstasy...;28 / 28;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06270;St.Allen/WreckThe...;29 / 29;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06272;OwlsOfTheSwamp/Atlas;124 / 134;0 / 0;0 / 0,000 / 0,000;0,00;-2;8 / 7,619 / 5,181;-41,45;0;-41,45
CD 06275;FrogbellyAndSymphony/BlueBright...;0 / 0;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 13906;EmmyMoll/AllTheMonsters;7 / 6;0 / 0;1 / 3,296 / 2,241;2,24;0;0 / 0,000 / 0,000;-0,00;0;2,24
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;6 / 7;0 / 0;0 / 0,000 / 0,000;0,00;0;1 / 9,790 / 6,657;-6,66;0;-6,66
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13913;J.Ufer/KopfInDenSternen;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 05257;Binoculers/EverySeaman s...;9 / 9;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06268;Frogbelly.../TheEye;36 / 36;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);45 / 46;0 / 0;0 / 0,000 / 0,000;0,00;0;1 / 9,693 / 6,591;-6,59;0;-6,59
LP 06274;M.Bisi/Ex-Nihilo;45 / 45;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06276;FrogbellyAndSymphony/BlueBright...;0 / 0;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;15 / 15;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;8 / 7;0 / 0;1 / 4,194 / 2,852;2,85;0;0 / 0,000 / 0,000;-0,00;0;2,85

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
3;8,76;11;-60,21;-51,46;-2,66;0;-2,63;23,12;0,00;0,00;0,00;-33,62 EUR


statement international reference no: 918736, date: 31.03.2015, salesperiode: 01.03.2015-31.03.2015


article no.;artist / title;export sales/prices;amount export;returns export qty/dealer/net(aver.);amount returns exp.;f.o.c. exp.;total amount
CD 06272;OwlsOfTheSwamp/Atlas;0 / 0,000 / 0,000;0,00;2 / 5,400 / 4,158;-8,32;0;-8,32

total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
0;0,00;2;-8,32;-0,32;0;-8,32;0,00;0,00;-8,64 EUR



statement downloads reference no: 918736, date: 31.03.2015, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06256;TONFANG;The Piss;Jess;Spotify;1 / 0,003 / 0,003;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Long Day;Xbox Music;1 / 0,002 / 0,001;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Long Day;Spotify;6 / 0,007 / 0,006;0,03
7" 06271;LONESOME STATION;Lonesome Station (+ CD);22h;Spotify;9 / 0,008 / 0,007;0,06
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Just Look;Spotify;10 / 0,008 / 0,007;0,07
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Happy in the Dark;Spotify;1 / 0,008 / 0,007;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;Spotify;2 / 0,008 / 0,007;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Dmand;Spotify;2 / 0,008 / 0,007;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);The Flowers Are Gone;Spotify;1 / 0,008 / 0,007;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);What We ve Said;Spotify;3 / 0,008 / 0,007;0,02
CD 06251;KID DECKER ;Reveries EP;Reveries;Xbox Music;5 / 0,007 / 0,005;0,03
CD 06251;KID DECKER ;Reveries EP;Reveries;Google Play;5 / 0,000 / 0,000;0,00
CD 06251;KID DECKER ;Reveries EP;Reveries;Rdio;5 / 0,005 / 0,004;0,02
CD 06251;KID DECKER ;Reveries EP;Reveries;Wimp;1 / 0,010 / 0,008;0,01
CD 06251;KID DECKER ;Reveries EP;Dead Man s Walk (Homekid Version);Google Play;5 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Xbox Music;1 / 0,002 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Wimp;5 / 0,017 / 0,013;0,07
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Juke;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Play;4 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Xbox Music;6 / 0,002 / 0,001;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Xbox Music;3 / 0,002 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Xbox Music;2 / 0,002 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Xbox Music;4 / 0,002 / 0,001;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Ups And Downs;Xbox Music;3 / 0,002 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Rdio;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Xbox Music;2 / 0,002 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Rdio;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;If Need Be;Xbox Music;2 / 0,002 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Xbox Music;2 / 0,002 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;When Will It Be;Xbox Music;1 / 0,002 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Wimp;1 / 0,021 / 0,017;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Xbox Music;2 / 0,002 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Xbox Music;4 / 0,002 / 0,001;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Rdio;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Wimp;1 / 0,017 / 0,014;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Xbox Music;4 / 0,020 / 0,016;0,07
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Juke;11 / 0,008 / 0,006;0,07
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Zvooq;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Spotify;4 / 0,005 / 0,004;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Zvooq;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Can t Hear Yourself Think;Zvooq;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Silver Ring Of The Bell;Zvooq;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Zvooq;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Spotify;1 / 0,003 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Zvooq;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Zvooq;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Zvooq;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Zvooq;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Spotify;2 / 0,004 / 0,003;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Zvooq;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;simfy;2 / 0,018 / 0,015;0,03
CD 06254;KID DECKER ;Your Kind;The Munchkins;Wimp;1 / 0,010 / 0,008;0,01
CD 06254;KID DECKER ;Your Kind;Here We Are;Wimp;1 / 0,010 / 0,008;0,01
CD 06254;KID DECKER ;Your Kind;Look About Ready;Wimp;1 / 0,010 / 0,008;0,01
CD 06254;KID DECKER ;Your Kind;Stone Cold;Wimp;1 / 0,010 / 0,008;0,01
CD 06254;KID DECKER ;Your Kind;Falling;Wimp;1 / 0,010 / 0,008;0,01
CD 06254;KID DECKER ;Your Kind;The Munchkins;Xbox Music;1 / 0,002 / 0,001;0,00
CD 06254;KID DECKER ;Your Kind;Too Late;Wimp;1 / 0,010 / 0,008;0,01
CD 06254;KID DECKER ;Your Kind;Where It Lies;Wimp;1 / 0,010 / 0,008;0,01
CD 06254;KID DECKER ;Your Kind;Your Kind;Wimp;1 / 0,010 / 0,008;0,01
