statement national reference no: 918948, date: 30.04.2015, salesperiode: 01.04.2015-30.04.2015

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06252;V.A./MelodicaCompilation1;20 / 20;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06254;KidDecker/YourKind;38 / 38;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06255;Binoculers/EverySeaman s...;24 / 24;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06261;OwlsOfTheSwamp/GoWithRiver;76 / 76;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06263;V.A./MelodicaCompilation2;54 / 54;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;119 / 118;0 / 0;1 / 5,388 / 3,664;3,66;0;0 / 0,000 / 0,000;-0,00;0;3,66
CD 06267;LizHanley/TheEcstasy...;28 / 28;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06270;St.Allen/WreckThe...;29 / 30;0 / 0;0 / 0,000 / 0,000;0,00;0;1 / 7,300 / 4,964;-4,96;0;-4,96
CD 06272;OwlsOfTheSwamp/Atlas;134 / 138;0 / 0;0 / 0,000 / 0,000;0,00;0;4 / 7,300 / 4,964;-19,86;0;-19,86
CD 06275;FrogbellyAndSymphony/BlueBright...;0 / 50;50 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 13906;EmmyMoll/AllTheMonsters;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;7 / 7;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13913;J.Ufer/KopfInDenSternen;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 05257;Binoculers/EverySeaman s...;9 / 9;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06268;Frogbelly.../TheEye;36 / 36;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);46 / 46;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06274;M.Bisi/Ex-Nihilo;45 / 46;0 / 0;0 / 0,000 / 0,000;0,00;0;1 / 9,781 / 6,651;-6,65;0;-6,65
LP 06276;FrogbellyAndSymphony/BlueBright...;0 / 15;15 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;15 / 15;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;7 / 7;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
1;3,66;6;-31,47;-27,81;-1,39;0;-1,10;6,71;0,00;0,00;0,00;-23,59 EUR


statement international reference no: 918948, date: 30.04.2015, salesperiode: 01.04.2015-30.04.2015


total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
0;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00 EUR



statement downloads reference no: 918948, date: 30.04.2015, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;Spotify;1 / 0,008 / 0,007;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);22h;Spotify;1 / 0,008 / 0,007;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Long Day;Spotify;1 / 0,008 / 0,007;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Just Look;Spotify;1 / 0,008 / 0,007;0,01
CD 06251;KID DECKER ;Reveries EP;Reveries;Google Play;1 / 0,009 / 0,008;0,01
CD 06251;KID DECKER ;Reveries EP;Dead Man s Walk (Homekid Version);Google Play;1 / 0,009 / 0,008;0,01
CD 06251;KID DECKER ;Reveries EP;Memories And Plans;Google Play;1 / 0,009 / 0,008;0,01
CD 06251;KID DECKER ;Reveries EP;Reveries;Rdio;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Xbox Music;2 / 0,025 / 0,020;0,04
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Google Play;1 / 0,013 / 0,010;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Google Play;1 / 0,013 / 0,010;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Deezer;1 / 0,001 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Deezer;1 / 0,001 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Xbox Music;2 / 0,025 / 0,020;0,04
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Google Play;1 / 0,013 / 0,010;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Google Play;3 / 0,012 / 0,009;0,03
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Deezer;7 / 0,007 / 0,006;0,04
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Google Play;1 / 0,013 / 0,010;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Xbox Music;2 / 0,025 / 0,020;0,04
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Wimp;5 / 0,014 / 0,011;0,05
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Play;26 / 0,008 / 0,006;0,16
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Deezer;1 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;When Will It Be;Google Play;1 / 0,013 / 0,010;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Google Play;29 / 0,007 / 0,006;0,16
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Google Play;1 / 0,013 / 0,010;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Rdio;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Juke;6 / 0,013 / 0,010;0,06
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Google Play;2 / 0,013 / 0,010;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Deezer;1 / 0,003 / 0,003;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Can t Hear Yourself Think;Deezer;1 / 0,003 / 0,003;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Silver Ring Of The Bell;Deezer;1 / 0,027 / 0,022;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Google Play;1 / 0,009 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Deezer;1 / 0,003 / 0,003;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Deezer;1 / 0,003 / 0,003;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Spotify;1 / 0,007 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Google Play;1 / 0,009 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Deezer;2 / 0,004 / 0,003;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Napster;1 / 0,008 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Deezer;2 / 0,003 / 0,003;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Deezer;1 / 0,003 / 0,003;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Google Play;1 / 0,009 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Spotify;1 / 0,002 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Google Play;1 / 0,009 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Spotify;1 / 0,007 / 0,005;0,01
CD 06254;KID DECKER ;Your Kind;Where It Lies;Google Play;4 / 0,013 / 0,010;0,04
CD 06254;KID DECKER ;Your Kind;Where It Lies;Rdio;1 / 0,005 / 0,004;0,00
CD 06254;KID DECKER ;Your Kind;Stone Cold;Google Play;4 / 0,013 / 0,010;0,04
CD 06254;KID DECKER ;Your Kind;Your Kind;Xbox Music;1 / 0,025 / 0,020;0,02
CD 06254;KID DECKER ;Your Kind; ;iTunes;1 / 5,100 / 4,080;4,08
CD 06254;KID DECKER ;Your Kind;The Munchkins;Google Play;3 / 0,012 / 0,009;0,03
CD 06254;KID DECKER ;Your Kind;Too Late;Google Play;4 / 0,013 / 0,010;0,04
CD 06254;KID DECKER ;Your Kind;Your Kind;Google Play;4 / 0,013 / 0,010;0,04
CD 06254;KID DECKER ;Your Kind;Here We Are;Rdio;1 / 0,005 / 0,004;0,00
CD 06254;KID DECKER ;Your Kind;Look About Ready;Rdio;1 / 0,005 / 0,004;0,00
CD 06254;KID DECKER ;Your Kind;Here We Are;Google Play;12 / 0,013 / 0,010;0,12
CD 06254;KID DECKER ;Your Kind;Disposable;Google Play;2 / 0,013 / 0,010;0,02
CD 06254;KID DECKER ;Your Kind;Falling;Google Play;5 / 0,013 / 0,010;0,05
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Xbox Music;1 / 0,025 / 0,020;0,02
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Rdio;3 / 0,005 / 0,004;0,01
