statement national reference no: 919160, date: 31.05.2015, salesperiode: 01.05.2015-31.05.2015

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06252;V.A./MelodicaCompilation1;20 / 20;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06254;KidDecker/YourKind;38 / 38;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06255;Binoculers/EverySeaman s...;24 / 21;0 / 0;3 / 8,512 / 5,788;17,36;0;0 / 0,000 / 0,000;-0,00;0;17,36
CD 06261;OwlsOfTheSwamp/GoWithRiver;76 / 76;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06263;V.A./MelodicaCompilation2;54 / 54;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;118 / 115;0 / 0;3 / 5,518 / 3,752;11,26;0;0 / 0,000 / 0,000;-0,00;0;11,26
CD 06267;LizHanley/TheEcstasy...;28 / 28;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06270;St.Allen/WreckThe...;30 / 30;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06272;OwlsOfTheSwamp/Atlas;138 / 138;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06275;FrogbellyAndSymphony/BlueBright...;50 / 153;110 / 7;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 13906;EmmyMoll/AllTheMonsters;6 / 5;0 / 0;1 / 3,296 / 2,241;2,24;0;0 / 0,000 / 0,000;-0,00;0;2,24
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;7 / 7;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13913;J.Ufer/KopfInDenSternen;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 05257;Binoculers/EverySeaman s...;9 / 9;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06268;Frogbelly.../TheEye;36 / 35;0 / 0;0 / 0,000 / 0,000;0,00;1;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);46 / 46;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06274;M.Bisi/Ex-Nihilo;46 / 46;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06276;FrogbellyAndSymphony/BlueBright...;15 / 15;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;15 / 15;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;7 / 6;0 / 0;1 / 4,499 / 3,059;3,06;0;0 / 0,000 / 0,000;-0,00;0;3,06

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
8;33,92;0;0,00;33,92;0,00;0;-11,68;13,12;0,00;0,00;0,00;35,36 EUR


statement international reference no: 919160, date: 31.05.2015, salesperiode: 01.05.2015-31.05.2015


article no.;artist / title;export sales/prices;amount export;returns export qty/dealer/net(aver.);amount returns exp.;f.o.c. exp.;total amount
LP 06268;Frogbelly.../TheEye;1 / 6,500 / 5,005;5,00;0 / 0,000 / 0,000;-0,00;0;5,00

total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
1;5,00;0;0,00;0,00;0;5,00;0,00;0,00;5,00 EUR



statement downloads reference no: 919160, date: 31.05.2015, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Just Look;Spotify;9 / 0,006 / 0,004;0,04
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Happy in the Dark;Spotify;8 / 0,007 / 0,006;0,05
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;Spotify;8 / 0,007 / 0,006;0,05
7" 06271;LONESOME STATION;Lonesome Station (+ CD);What We ve Said;Spotify;6 / 0,006 / 0,004;0,03
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Long Day;Spotify;9 / 0,007 / 0,005;0,05
7" 06271;LONESOME STATION;Lonesome Station (+ CD);22h;Spotify;7 / 0,007 / 0,006;0,04
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Dmand;Spotify;6 / 0,007 / 0,005;0,03
7" 06271;LONESOME STATION;Lonesome Station (+ CD);The Flowers Are Gone;Spotify;9 / 0,006 / 0,005;0,05
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Wimp;1 / 0,011 / 0,009;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Wimp;2 / 0,011 / 0,009;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Play;4 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Deezer;3 / 0,005 / 0,004;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Wimp;6 / 0,012 / 0,010;0,06
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Deezer;1 / 0,007 / 0,005;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Napster;1 / 0,008 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Google Play;1 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Napster;1 / 0,008 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Google Play;1 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Spotify;1 / 0,009 / 0,007;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Google Play;1 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;YouTube;1 / 0,005 / 0,004;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Spotify;1 / 0,003 / 0,002;0,00
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Xbox Music;1 / 0,028 / 0,023;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;simfy;2 / 0,018 / 0,014;0,03
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;YouTube;3 / 0,007 / 0,006;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Deezer;2 / 0,002 / 0,002;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;simfy;5 / 0,018 / 0,014;0,07
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Deezer;1 / 0,001 / 0,001;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;simfy;4 / 0,018 / 0,014;0,06
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;Deezer;10 / 0,009 / 0,007;0,07
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;simfy;4 / 0,018 / 0,014;0,06
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;Deezer;1 / 0,001 / 0,001;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;simfy;3 / 0,018 / 0,014;0,04
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;simfy;5 / 0,018 / 0,014;0,07
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Paintbox;simfy;2 / 0,018 / 0,014;0,03
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Paintbox;iTunes;1 / 0,600 / 0,480;0,48
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Deezer;11 / 0,009 / 0,007;0,08
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;simfy;5 / 0,018 / 0,014;0,07
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;simfy;2 / 0,018 / 0,014;0,03
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Deezer;1 / 0,001 / 0,001;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;simfy;5 / 0,018 / 0,014;0,07
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Xbox Music;13 / 0,028 / 0,023;0,29
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;simfy;3 / 0,018 / 0,014;0,04
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Deezer;1 / 0,001 / 0,001;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;simfy;4 / 0,018 / 0,014;0,06
CD 06257;STOCK, TORBEN;Rocket;Tonight;Spotify;6 / 0,001 / 0,001;0,00
CD 06257;STOCK, TORBEN;Rocket;Sad Movie Song;Spotify;13 / 0,002 / 0,001;0,02
CD 06257;STOCK, TORBEN;Rocket;Rocket;Spotify;10 / 0,002 / 0,001;0,01
CD 06257;STOCK, TORBEN;Rocket;Real Lights / Great Souls;Spotify;9 / 0,001 / 0,001;0,01
CD 06257;STOCK, TORBEN;Rocket;Kiss Me Good Night;Spotify;8 / 0,001 / 0,001;0,01
CD 06257;STOCK, TORBEN;Rocket;Conamara Instr,;Spotify;6 / 0,001 / 0,001;0,00
CD 06257;STOCK, TORBEN;Rocket;Conamara Instr,;Deezer;1 / 0,003 / 0,003;0,00
CD 06257;STOCK, TORBEN;Rocket;Cold Breeze;Spotify;8 / 0,001 / 0,001;0,01
CD 06257;STOCK, TORBEN;Rocket;Angels s Song;Spotify;6 / 0,001 / 0,001;0,00
CD 06257;STOCK, TORBEN;Rocket;Truth;Spotify;6 / 0,001 / 0,001;0,00
CD 06257;STOCK, TORBEN;Rocket;Wolkenstein;Spotify;8 / 0,001 / 0,001;0,01
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;At The Corner;Xbox Music;1 / 0,028 / 0,023;0,02
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Stzar;Xbox Music;1 / 0,028 / 0,023;0,02
CD 06261;OWLS OF THE SWAMP  ;Go With River;So Far Away;Spotify;181 / 0,003 / 0,002;0,45
