statement national reference no: 919374, date: 30.06.2015, salesperiode: 01.06.2015-30.06.2015

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06252;V.A./MelodicaCompilation1;20 / 20;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06254;KidDecker/YourKind;38 / 39;0 / 0;0 / 0,000 / 0,000;0,00;0;1 / 6,488 / 4,412;-4,41;0;-4,41
CD 06255;Binoculers/EverySeaman s...;21 / 19;0 / 0;2 / 8,420 / 5,725;11,45;0;0 / 0,000 / 0,000;-0,00;0;11,45
CD 06261;OwlsOfTheSwamp/GoWithRiver;76 / 76;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06263;V.A./MelodicaCompilation2;54 / 54;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;115 / 111;0 / 0;4 / 5,388 / 3,664;14,66;0;0 / 0,000 / 0,000;-0,00;0;14,66
CD 06267;LizHanley/TheEcstasy...;28 / 28;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06270;St.Allen/WreckThe...;30 / 31;0 / 0;0 / 0,000 / 0,000;0,00;0;1 / 7,300 / 4,964;-4,96;0;-4,96
CD 06272;OwlsOfTheSwamp/Atlas;138 / 146;0 / 0;1 / 7,300 / 4,964;4,96;0;9 / 7,252 / 4,932;-44,38;0;-39,42
CD 06275;FrogbellyAndSymphony/BlueBright...;153 / 124;0 / 0;25 / 8,277 / 5,628;140,71;4;0 / 0,000 / 0,000;-0,00;0;140,71
CD 13906;EmmyMoll/AllTheMonsters;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;7 / 7;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13913;J.Ufer/KopfInDenSternen;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 05257;Binoculers/EverySeaman s...;9 / 9;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06268;Frogbelly.../TheEye;35 / 35;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);46 / 47;0 / 0;0 / 0,000 / 0,000;0,00;0;1 / 8,924 / 6,068;-6,07;0;-6,07
LP 06274;M.Bisi/Ex-Nihilo;46 / 47;0 / 0;0 / 0,000 / 0,000;0,00;0;1 / 8,924 / 6,068;-6,07;0;-6,07
LP 06276;FrogbellyAndSymphony/BlueBright...;15 / 15;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;15 / 14;0 / 0;1 / 5,998 / 4,079;4,08;0;0 / 0,000 / 0,000;-0,00;0;4,08
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
33;175,86;13;-65,90;109,96;-2,91;0;-58,30;16,25;0,00;0,00;0,00;65,01 EUR


statement international reference no: 919374, date: 30.06.2015, salesperiode: 01.06.2015-30.06.2015


article no.;artist / title;export sales/prices;amount export;returns export qty/dealer/net(aver.);amount returns exp.;f.o.c. exp.;total amount
CD 06275;FrogbellyAndSymphony/BlueBright...;4 / 6,000 / 4,620;18,48;0 / 0,000 / 0,000;-0,00;0;18,48

total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
4;18,48;0;0,00;0,00;0;18,48;0,00;0,00;18,48 EUR



statement downloads reference no: 919374, date: 30.06.2015, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06256;TONFANG;The Piss;Jess;Spotify;1 / 0,003 / 0,003;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;7digital;1 / 0,550 / 0,440;0,44
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Google Play;2 / 0,013 / 0,010;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Play;7 / 0,006 / 0,005;0,03
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Wimp;1 / 0,015 / 0,012;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Xbox Music;1 / 0,028 / 0,022;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Xbox Music;3 / 0,028 / 0,022;0,07
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Google Play;6 / 0,003 / 0,002;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Google Play;11 / 0,007 / 0,006;0,07
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Wimp;1 / 0,010 / 0,008;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Deezer;1 / 0,001 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Google Play;22 / 0,006 / 0,005;0,11
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Wimp;1 / 0,019 / 0,015;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Deezer;1 / 0,032 / 0,026;0,03
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Google Play;1 / 0,006 / 0,005;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Deezer;2 / 0,004 / 0,003;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Wimp;1 / 0,013 / 0,010;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Spotify;2 / 0,003 / 0,003;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Google Play;1 / 0,016 / 0,013;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Spotify;1 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Deezer;1 / 0,007 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Wimp;1 / 0,010 / 0,008;0,01
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Google Play;1 / 0,009 / 0,007;0,01
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Xbox Music;1 / 0,028 / 0,022;0,02
CD 06254;KID DECKER ;Your Kind;Here We Are;Google Play;1 / 0,012 / 0,010;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;simfy;3 / 0,022 / 0,018;0,05
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;simfy;2 / 0,022 / 0,018;0,04
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;simfy;13 / 0,022 / 0,018;0,23
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Paintbox;simfy;2 / 0,022 / 0,018;0,04
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;simfy;3 / 0,022 / 0,018;0,05
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;Deezer;1 / 0,027 / 0,021;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;simfy;25 / 0,022 / 0,018;0,44
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;simfy;2 / 0,022 / 0,018;0,04
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;simfy;4 / 0,022 / 0,018;0,07
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Xbox Music;44 / 0,028 / 0,022;0,99
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;simfy;2 / 0,022 / 0,018;0,04
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;simfy;2 / 0,022 / 0,018;0,04
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Deezer;1 / 0,000 / 0,000;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;simfy;3 / 0,022 / 0,018;0,05
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;simfy;2 / 0,022 / 0,018;0,04
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Google Play;1 / 0,009 / 0,007;0,01
CD 06257;STOCK, TORBEN;Rocket;Tonight;Spotify;6 / 0,001 / 0,001;0,01
CD 06257;STOCK, TORBEN;Rocket;Truth;Spotify;5 / 0,002 / 0,001;0,01
CD 06257;STOCK, TORBEN;Rocket;Wolkenstein;Spotify;6 / 0,001 / 0,001;0,01
CD 06257;STOCK, TORBEN;Rocket;Sad Movie Song;Spotify;9 / 0,001 / 0,001;0,01
CD 06257;STOCK, TORBEN;Rocket;Sad Movie Song;Deezer;1 / 0,024 / 0,019;0,02
CD 06257;STOCK, TORBEN;Rocket;Rocket;Spotify;7 / 0,001 / 0,001;0,01
CD 06257;STOCK, TORBEN;Rocket;Real Lights / Great Souls;Spotify;6 / 0,001 / 0,001;0,01
CD 06257;STOCK, TORBEN;Rocket;Kiss Me Good Night;Spotify;9 / 0,002 / 0,001;0,01
