statement national reference no: 919802, date: 31.08.2015, salesperiode: 01.08.2015-31.08.2015

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06252;V.A./MelodicaCompilation1;20 / 20;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06254;KidDecker/YourKind;39 / 39;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06255;Binoculers/EverySeaman s...;19 / 19;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06261;OwlsOfTheSwamp/GoWithRiver;76 / 76;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06263;V.A./MelodicaCompilation2;54 / 54;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;111 / 111;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06267;LizHanley/TheEcstasy...;28 / 28;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06270;St.Allen/WreckThe...;31 / 31;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06272;OwlsOfTheSwamp/Atlas;148 / 150;0 / 0;0 / 0,000 / 0,000;0,00;0;2 / 7,300 / 4,964;-9,93;0;-9,93
CD 06275;FrogbellyAndSymphony/BlueBright...;102 / 101;0 / 0;0 / 0,000 / 0,000;0,00;1;0 / 0,000 / 0,000;-0,00;0;0,00
CD 13906;EmmyMoll/AllTheMonsters;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;7 / 7;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;4 / 3;0 / 0;1 / 5,397 / 3,670;3,67;0;0 / 0,000 / 0,000;-0,00;0;3,67
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13913;J.Ufer/KopfInDenSternen;2 / 1;0 / 0;1 / 1,796 / 1,221;1,22;0;0 / 0,000 / 0,000;-0,00;0;1,22
LP 05257;Binoculers/EverySeaman s...;9 / 8;0 / 0;1 / 9,301 / 6,324;6,32;0;0 / 0,000 / 0,000;-0,00;0;6,32
LP 06268;Frogbelly.../TheEye;34 / 34;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);47 / 47;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06274;M.Bisi/Ex-Nihilo;48 / 48;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06276;FrogbellyAndSymphony/BlueBright...;44 / 41;0 / 0;2 / 13,896 / 9,449;18,90;1;0 / 0,000 / 0,000;-0,00;0;18,90
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;3 / 2;0 / 0;1 / 5,998 / 4,079;4,08;0;0 / 0,000 / 0,000;-0,00;0;4,08
LP*13907;EmmyMoll/AllTheMonsters;14 / 14;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
6;34,19;2;-9,93;24,26;-0,44;0;-14,02;7,58;0,00;0,00;0,00;17,38 EUR


statement international reference no: 919802, date: 31.08.2015, salesperiode: 01.08.2015-31.08.2015


article no.;artist / title;export sales/prices;amount export;returns export qty/dealer/net(aver.);amount returns exp.;f.o.c. exp.;total amount
CD 06275;FrogbellyAndSymphony/BlueBright...;1 / 7,300 / 5,621;5,62;0 / 0,000 / 0,000;-0,00;0;5,62
LP 06276;FrogbellyAndSymphony/BlueBright...;1 / 9,000 / 6,930;6,93;0 / 0,000 / 0,000;-0,00;0;6,93

total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
2;12,55;0;0,00;0,00;0;12,55;0,00;0,00;12,55 EUR



statement downloads reference no: 919802, date: 31.08.2015, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06256;TONFANG;The Piss;Dieff;YouTube;1 / 0,000 / 0,000;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Just Look;Spotify;1 / 0,002 / 0,002;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Happy in the Dark;Spotify;1 / 0,002 / 0,002;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;Spotify;1 / 0,002 / 0,002;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);The Flowers Are Gone;Spotify;1 / 0,002 / 0,002;0,00
CD 06251;KID DECKER ;Reveries EP;Reveries;Xbox Music;6 / 0,025 / 0,020;0,12
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Deezer;1 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Google Play;9 / 0,007 / 0,006;0,05
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Xbox Music;2 / 0,025 / 0,020;0,04
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Google Play;1 / 0,007 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Google Play;2 / 0,007 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Google Play;2 / 0,007 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Ups And Downs;Google Play;2 / 0,007 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;When Will It Be;Google Play;1 / 0,007 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;7digital;1 / 0,510 / 0,408;0,41
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Play;3 / 0,006 / 0,005;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Google Play;1 / 0,007 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Deezer;3 / 0,008 / 0,007;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;amazonCloud;5 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Deezer;1 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Google Play;1 / 0,007 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Deezer;1 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Google Play;9 / 0,006 / 0,004;0,04
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Xbox Music;7 / 0,025 / 0,020;0,14
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Deezer;1 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Google Play;1 / 0,007 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Deezer;2 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Deezer;1 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Google Play;3 / 0,007 / 0,006;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Xbox Music;10 / 0,025 / 0,020;0,20
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;If Need Be;Google Play;4 / 0,007 / 0,006;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Amazon;1 / 0,450 / 0,360;0,36
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Spotify;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Silver Ring Of The Bell;Spotify;1 / 0,005 / 0,004;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Can t Hear Yourself Think;Deezer;1 / 0,011 / 0,009;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Can t Hear Yourself Think;Spotify;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Deezer;2 / 0,007 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Spotify;3 / 0,004 / 0,003;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Deezer;2 / 0,007 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Spotify;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Google Play;1 / 0,008 / 0,007;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Spotify;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Slacker;2 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Spotify;3 / 0,003 / 0,002;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Spotify;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Deezer;2 / 0,007 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Deezer;1 / 0,011 / 0,009;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Spotify;2 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Deezer;1 / 0,011 / 0,009;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Spotify;2 / 0,002 / 0,002;0,00
CD 06254;KID DECKER ;Your Kind;Too Late;Xbox Music;10 / 0,025 / 0,020;0,20
CD 06254;KID DECKER ;Your Kind;Your Kind;Google Play;1 / 0,007 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;The Munchkins;Google Play;1 / 0,007 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Falling;Google Play;1 / 0,007 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Deezer;1 / 0,007 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Deezer;1 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Deezer;1 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Xbox Music;12 / 0,025 / 0,020;0,24
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Google Play;1 / 0,009 / 0,007;0,01
