statement national reference no: 920449, date: 30.11.2015, salesperiode: 01.11.2015-30.11.2015

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06252;V.A./MelodicaCompilation1;19 / 18;0 / 0;1 / 5,397 / 3,670;3,67;0;0 / 0,000 / 0,000;-0,00;0;3,67
CD 06255;Binoculers/EverySeaman s...;19 / 19;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06261;OwlsOfTheSwamp/GoWithRiver;75 / 15;0 / 60;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06263;V.A./MelodicaCompilation2;54 / 8;0 / 45;1 / 5,388 / 3,664;3,66;0;0 / 0,000 / 0,000;-0,00;0;3,66
CD 06264;MeikeSchrader/DasGr¸n...;110 / 58;0 / 50;2 / 5,388 / 3,664;7,33;0;0 / 0,000 / 0,000;-0,00;0;7,33
CD 06272;OwlsOfTheSwamp/Atlas;151 / 93;0 / 57;2 / 7,676 / 5,219;10,44;1;2 / 7,453 / 5,068;-10,14;0;0,30
CD 06275;FrogbellyAndSymphony/BlueBright...;101 / 105;0 / 0;0 / 0,000 / 0,000;0,00;0;4 / 9,153 / 6,224;-24,90;0;-24,90
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;5 / 4;0 / 1;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06254;KidDecker/YourKind;39 / 4;0 / 35;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;7 / 5;0 / 1;0 / 0,000 / 0,000;0,00;1;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06267;LizHanley/TheEcstasy...;28 / 7;0 / 20;0 / 0,000 / 0,000;0,00;1;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06270;St.Allen/WreckThe...;31 / 2;0 / 29;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;6 / 5;0 / 1;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13906;EmmyMoll/AllTheMonsters;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbid‰;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13913;J.Ufer/KopfInDenSternen;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 05257;Binoculers/EverySeaman s...;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);46 / 26;0 / 20;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06276;FrogbellyAndSymphony/BlueBright...;41 / 43;0 / 0;1 / 12,606 / 8,572;8,57;0;3 / 13,000 / 8,840;-26,52;0;-17,95
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06268;Frogbelly.../TheEye;34 / 26;0 / 7;0 / 0,000 / 0,000;0,00;1;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06274;M.Bisi/Ex-Nihilo;48 / 5;0 / 43;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;3 / 2;0 / 0;1 / 4,194 / 2,852;2,85;0;0 / 0,000 / 0,000;-0,00;0;2,85
LP*13904;Xrfarflight/TheEarlyBird;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;14 / 2;0 / 10;2 / 5,998 / 4,079;8,16;0;0 / 0,000 / 0,000;-0,00;0;8,16
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbid‰;5 / 4;0 / 1;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
10;44,68;9;-61,55;-16,87;-2,72;0;-19,39;11,68;0,00;0,00;0,00;-27,30 EUR


statement international reference no: 920449, date: 30.11.2015, salesperiode: 01.11.2015-30.11.2015


article no.;artist / title;export sales/prices;amount export;returns export qty/dealer/net(aver.);amount returns exp.;f.o.c. exp.;total amount
CD 06272;OwlsOfTheSwamp/Atlas;1 / 5,400 / 4,158;4,16;0 / 0,000 / 0,000;-0,00;0;4,16
CD*06266;Outroads/IAmHappy;1 / 7,000 / 5,390;5,39;0 / 0,000 / 0,000;-0,00;0;5,39
CD*06267;LizHanley/TheEcstasy...;1 / 7,000 / 5,390;5,39;0 / 0,000 / 0,000;-0,00;0;5,39
LP*06268;Frogbelly.../TheEye;1 / 6,500 / 5,005;5,00;0 / 0,000 / 0,000;-0,00;0;5,00

total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
4;19,94;0;0,00;0,00;0;19,94;0,00;0,00;19,94 EUR



statement downloads reference no: 920449, date: 30.11.2015, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06256;TONFANG;The Piss;Middleman (4Track Mix);Spotify;1 / 0,001 / 0,001;0,00
7" 06256;TONFANG;The Piss;Middleman;Spotify;1 / 0,001 / 0,001;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);22h;Spotify;1 / 0,006 / 0,005;0,01
CD 06251;KID DECKER ;Reveries EP;Reveries;Rdio;5 / 0,005 / 0,004;0,02
CD 06251;KID DECKER ;Reveries EP;Reveries;Xbox Music;1 / 0,026 / 0,021;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Amazon;1 / 0,540 / 0,432;0,43
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Play;2 / 0,005 / 0,004;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Google Play;1 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Google Play;4 / 0,007 / 0,006;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Google Play;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Google Play;1 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Deezer;1 / 0,003 / 0,003;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Google Play;2 / 0,005 / 0,004;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Silver Ring Of The Bell;Deezer;2 / 0,012 / 0,009;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Deezer;3 / 0,012 / 0,009;0,03
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Spotify;1 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Deezer;9 / 0,011 / 0,008;0,08
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Can t Hear Yourself Think;Deezer;3 / 0,012 / 0,009;0,03
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Deezer;7 / 0,012 / 0,009;0,06
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Spotify;1 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Spotify;1 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Deezer;3 / 0,012 / 0,009;0,03
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Deezer;4 / 0,012 / 0,009;0,04
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Deezer;6 / 0,012 / 0,009;0,06
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Deezer;2 / 0,012 / 0,009;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Deezer;3 / 0,012 / 0,009;0,03
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Rdio;4 / 0,005 / 0,004;0,02
CD 06254;KID DECKER ;Your Kind;Here We Are;Rdio;1 / 0,005 / 0,004;0,00
CD 06254;KID DECKER ;Your Kind;Disposable;Rdio;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Deezer;2 / 0,002 / 0,001;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Deezer;4 / 0,004 / 0,004;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Deezer;6 / 0,004 / 0,004;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship; ;iTunes;2 / 4,700 / 3,760;7,52
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;Deezer;2 / 0,002 / 0,001;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Paintbox;Deezer;2 / 0,002 / 0,001;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Deezer;2 / 0,002 / 0,001;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Deezer;3 / 0,003 / 0,002;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;Deezer;3 / 0,002 / 0,002;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Xbox Music;1 / 0,026 / 0,021;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Rdio;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Deezer;4 / 0,003 / 0,003;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;Deezer;3 / 0,008 / 0,007;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;iTunes;1 / 0,600 / 0,480;0,48
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;iTunes;1 / 0,600 / 0,480;0,48
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;Deezer;2 / 0,002 / 0,001;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;iTunes;1 / 0,600 / 0,480;0,48
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;Deezer;2 / 0,002 / 0,001;0,00
CD 06257;STOCK, TORBEN;Rocket;Sad Movie Song;Google Play;1 / 0,011 / 0,009;0,01
CD 06257;STOCK, TORBEN;Rocket;Rocket;Spotify;1 / 0,000 / 0,000;0,00
CD 06257;STOCK, TORBEN;Rocket;Real Lights / Great Souls;Spotify;3 / 0,002 / 0,002;0,01
CD 06257;STOCK, TORBEN;Rocket;Kiss Me Good Night;Spotify;1 / 0,000 / 0,000;0,00
CD 06257;STOCK, TORBEN;Rocket;Cold Breeze;Spotify;1 / 0,000 / 0,000;0,00
CD 06257;STOCK, TORBEN;Rocket;Angels s Song;Spotify;2 / 0,001 / 0,001;0,00
CD 06257;STOCK, TORBEN;Rocket;Sad Movie Song;Spotify;9 / 0,005 / 0,004;0,03
CD 06257;STOCK, TORBEN;Rocket;Tonight;Spotify;1 / 0,000 / 0,000;0,00
