statement national reference no: 918312, date: 31.01.2015, salesperiode: 01.01.2015-31.01.2015

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06252;V.A./MelodicaCompilation1;20 / 20;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06254;KidDecker/YourKind;38 / 38;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06255;Binoculers/EverySeaman s...;23 / 23;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06261;OwlsOfTheSwamp/GoWithRiver;75 / 76;1 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06263;V.A./MelodicaCompilation2;54 / 54;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;125 / 124;0 / 0;1 / 8,404 / 5,715;5,71;0;0 / 0,000 / 0,000;-0,00;0;5,71
CD 06267;LizHanley/TheEcstasy...;29 / 28;0 / 1;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06270;St.Allen/WreckThe...;29 / 29;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06272;OwlsOfTheSwamp/Atlas;115 / 119;0 / 0;0 / 0,000 / 0,000;0,00;0;4 / 7,300 / 4,964;-19,86;0;-19,86
CD 06275;FrogbellyAndSymphony/Ow.;0 / 0;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 13906;EmmyMoll/AllTheMonsters;9 / 9;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;4 / 5;1 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;7 / 6;0 / 1;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;5 / 6;1 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13913;J.Ufer/KopfInDenSternen;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 05257;Binoculers/EverySeaman s...;9 / 9;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06268;Frogbelly.../TheEye;36 / 36;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);46 / 46;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06274;M.Bisi/Ex-Nihilo;45 / 45;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;15 / 15;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;8 / 8;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
1;5,71;4;-19,86;-14,14;-0,88;0;-1,71;17,26;0,00;0,00;0,00;0,53 EUR


statement international reference no: 918312, date: 31.01.2015, salesperiode: 01.01.2015-31.01.2015


total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
0;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00 EUR



statement downloads reference no: 918312, date: 31.01.2015, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06256;TONFANG;The Piss;Middleman (4Track Mix);Spotify;1 / 0,001 / 0,000;0,00
CD 06251;KID DECKER ;Reveries EP;Memories And Plans;Rdio;7 / 0,005 / 0,004;0,03
CD 06251;KID DECKER ;Reveries EP;Reveries;Wimp;2 / 0,010 / 0,008;0,02
CD 06251;KID DECKER ;Reveries EP;Memories And Plans;Deezer;1 / 0,006 / 0,005;0,00
CD 06251;KID DECKER ;Reveries EP;Reveries;Xbox Music;3 / 0,002 / 0,001;0,00
CD 06251;KID DECKER ;Reveries EP;Reveries;Rdio;8 / 0,005 / 0,004;0,03
CD 06251;KID DECKER ;Reveries EP;Dead Man s Walk (Homekid Version);Rdio;2 / 0,005 / 0,004;0,01
CD 06251;KID DECKER ;Reveries EP;Dead Man s Walk (Homekid Version);iTunes;1 / 0,400 / 0,320;0,32
CD 06251;KID DECKER ;Reveries EP;Dead Man s Walk (Homekid Version);Deezer;1 / 0,003 / 0,002;0,00
CD 06251;KID DECKER ;Reveries EP;Memories And Plans;iTunes;1 / 0,400 / 0,320;0,32
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Ups And Downs;Rdio;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;When Will It Be;Deezer;1 / 0,006 / 0,005;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Deezer;1 / 0,006 / 0,005;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;iTunes;1 / 0,260 / 0,208;0,21
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Wimp;4 / 0,018 / 0,014;0,06
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Wimp;3 / 0,015 / 0,012;0,04
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Rdio;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Xbox Music;4 / 0,002 / 0,001;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;If Need Be;Rdio;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Xbox Music;1 / 0,002 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Deezer;1 / 0,006 / 0,005;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Xbox Music;8 / 0,002 / 0,001;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;iTunes;1 / 0,600 / 0,480;0,48
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Deezer;1 / 0,001 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Rdio;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Deezer;1 / 0,006 / 0,005;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Rdio;1 / 0,005 / 0,004;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Spotify;1 / 0,007 / 0,005;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Spotify;1 / 0,007 / 0,005;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Deezer;1 / 0,006 / 0,005;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Orange;1 / 0,470 / 0,376;0,38
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Spotify;1 / 0,003 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Xbox Music;1 / 0,026 / 0,021;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Spotify;1 / 0,007 / 0,005;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Spotify;1 / 0,007 / 0,005;0,01
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Rdio;7 / 0,005 / 0,004;0,03
CD 06254;KID DECKER ;Your Kind;Here We Are;Rdio;3 / 0,005 / 0,004;0,01
CD 06254;KID DECKER ;Your Kind;The Munchkins;Wimp;3 / 0,010 / 0,008;0,02
CD 06254;KID DECKER ;Your Kind;Here We Are;Deezer;1 / 0,006 / 0,005;0,00
CD 06254;KID DECKER ;Your Kind;Falling;Xbox Music;4 / 0,002 / 0,001;0,01
CD 06254;KID DECKER ;Your Kind;Falling;Wimp;2 / 0,010 / 0,008;0,02
CD 06254;KID DECKER ;Your Kind;Falling;Rdio;5 / 0,005 / 0,004;0,02
CD 06254;KID DECKER ;Your Kind;Falling;Deezer;1 / 0,006 / 0,005;0,00
CD 06254;KID DECKER ;Your Kind;Disposable;Rdio;4 / 0,005 / 0,004;0,02
CD 06254;KID DECKER ;Your Kind;Disposable;Wimp;2 / 0,010 / 0,008;0,02
CD 06254;KID DECKER ;Your Kind;Look About Ready;Wimp;2 / 0,010 / 0,008;0,02
CD 06254;KID DECKER ;Your Kind;Here We Are;Wimp;2 / 0,010 / 0,008;0,02
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Wimp;2 / 0,010 / 0,008;0,02
CD 06254;KID DECKER ;Your Kind;Disposable;Deezer;1 / 0,006 / 0,005;0,00
CD 06254;KID DECKER ;Your Kind;The Munchkins;Xbox Music;3 / 0,010 / 0,008;0,02
CD 06254;KID DECKER ;Your Kind;The Munchkins;Rdio;3 / 0,005 / 0,004;0,01
CD 06254;KID DECKER ;Your Kind;The Munchkins;Deezer;1 / 0,006 / 0,005;0,00
CD 06254;KID DECKER ;Your Kind;Stone Cold;Wimp;2 / 0,010 / 0,008;0,02
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Deezer;1 / 0,006 / 0,005;0,00
CD 06254;KID DECKER ;Your Kind;Look About Ready;Xbox Music;1 / 0,002 / 0,001;0,00
CD 06254;KID DECKER ;Your Kind;Look About Ready;Rdio;3 / 0,005 / 0,004;0,01
CD 06254;KID DECKER ;Your Kind;Stone Cold;Rdio;2 / 0,005 / 0,004;0,01
CD 06254;KID DECKER ;Your Kind;Your Kind;Wimp;2 / 0,010 / 0,008;0,02
CD 06254;KID DECKER ;Your Kind;Where It Lies;Rdio;4 / 0,005 / 0,004;0,02
CD 06254;KID DECKER ;Your Kind;Your Kind;Xbox Music;2 / 0,014 / 0,011;0,02
