statement national reference no: 919588, date: 31.07.2015, salesperiode: 01.07.2015-31.07.2015

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06252;V.A./MelodicaCompilation1;20 / 20;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06254;KidDecker/YourKind;39 / 39;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06255;Binoculers/EverySeaman s...;19 / 19;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06261;OwlsOfTheSwamp/GoWithRiver;76 / 76;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06263;V.A./MelodicaCompilation2;54 / 54;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;111 / 111;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06267;LizHanley/TheEcstasy...;28 / 28;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06270;St.Allen/WreckThe...;31 / 31;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06272;OwlsOfTheSwamp/Atlas;146 / 148;0 / 0;0 / 0,000 / 0,000;0,00;0;2 / 7,300 / 4,964;-9,93;0;-9,93
CD 06275;FrogbellyAndSymphony/BlueBright...;124 / 102;0 / 1;18 / 8,469 / 5,759;103,66;3;0 / 0,000 / 0,000;-0,00;0;103,66
CD 13906;EmmyMoll/AllTheMonsters;5 / 4;0 / 0;1 / 3,486 / 2,370;2,37;0;0 / 0,000 / 0,000;-0,00;0;2,37
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;7 / 7;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13913;J.Ufer/KopfInDenSternen;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 05257;Binoculers/EverySeaman s...;9 / 9;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06268;Frogbelly.../TheEye;35 / 34;0 / 0;0 / 0,000 / 0,000;0,00;1;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);47 / 47;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06274;M.Bisi/Ex-Nihilo;47 / 48;0 / 0;0 / 0,000 / 0,000;0,00;0;1 / 8,924 / 6,068;-6,07;0;-6,07
LP 06276;FrogbellyAndSymphony/BlueBright...;15 / 44;50 / 4;17 / 13,557 / 9,219;156,72;0;0 / 0,000 / 0,000;-0,00;0;156,72
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;14 / 14;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;6 / 5;0 / 0;1 / 4,194 / 2,852;2,85;0;0 / 0,000 / 0,000;-0,00;0;2,85

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
37;265,61;3;-16,00;249,61;-0,71;0;-85,71;1,71;0,00;0,00;0,00;164,91 EUR


statement international reference no: 919588, date: 31.07.2015, salesperiode: 01.07.2015-31.07.2015


article no.;artist / title;export sales/prices;amount export;returns export qty/dealer/net(aver.);amount returns exp.;f.o.c. exp.;total amount
CD 06275;FrogbellyAndSymphony/BlueBright...;3 / 6,360 / 4,897;14,69;0 / 0,000 / 0,000;-0,00;0;14,69
LP 06268;Frogbelly.../TheEye;1 / 7,000 / 5,390;5,39;0 / 0,000 / 0,000;-0,00;0;5,39

total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
4;20,08;0;0,00;0,00;0;20,08;0,00;0,00;20,08 EUR



statement downloads reference no: 919588, date: 31.07.2015, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06256;TONFANG;The Piss;Middleman (4Track Mix);Spotify;1 / 0,010 / 0,008;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Wimp;1 / 0,013 / 0,010;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Wimp;1 / 0,015 / 0,012;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Xbox Music;1 / 0,024 / 0,020;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Google Play;6 / 0,010 / 0,008;0,05
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Wimp;1 / 0,010 / 0,008;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Xbox Music;1 / 0,024 / 0,020;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Xbox Music;1 / 0,024 / 0,020;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Juke;2 / 0,014 / 0,011;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Google Play;1 / 0,004 / 0,003;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Play;3 / 0,008 / 0,006;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Deezer;1 / 0,004 / 0,003;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Deezer;1 / 0,003 / 0,003;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Xbox Music;1 / 0,024 / 0,020;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Wimp;1 / 0,019 / 0,015;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Google Play;17 / 0,006 / 0,005;0,08
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Deezer;1 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Wimp;1 / 0,010 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Spotify;2 / 0,003 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Spotify;2 / 0,003 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Spotify;4 / 0,002 / 0,002;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Spotify;5 / 0,003 / 0,003;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Deezer;1 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Spotify;2 / 0,003 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Silver Ring Of The Bell;Spotify;2 / 0,003 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Can t Hear Yourself Think;Spotify;2 / 0,003 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Deezer;1 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Spotify;2 / 0,003 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Spotify;3 / 0,003 / 0,002;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Spotify;3 / 0,002 / 0,002;0,00
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;YouTube;1 / 0,000 / 0,000;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;simfy;1 / 0,024 / 0,019;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Paintbox;simfy;1 / 0,024 / 0,019;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;simfy;1 / 0,024 / 0,019;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;simfy;2 / 0,024 / 0,019;0,04
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;simfy;1 / 0,024 / 0,019;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;simfy;23 / 0,024 / 0,019;0,45
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;simfy;1 / 0,024 / 0,019;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;simfy;1 / 0,024 / 0,019;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Xbox Music;29 / 0,024 / 0,020;0,57
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;simfy;6 / 0,024 / 0,019;0,12
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;simfy;1 / 0,024 / 0,019;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;simfy;5 / 0,024 / 0,019;0,10
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;simfy;1 / 0,024 / 0,019;0,02
CD 06257;STOCK, TORBEN;Rocket;Truth;Spotify;7 / 0,001 / 0,001;0,01
CD 06257;STOCK, TORBEN;Rocket;Wolkenstein;Spotify;4 / 0,000 / 0,000;0,00
CD 06257;STOCK, TORBEN;Rocket;Angels s Song;Spotify;7 / 0,001 / 0,001;0,01
CD 06257;STOCK, TORBEN;Rocket;Kiss Me Good Night;Spotify;17 / 0,002 / 0,002;0,03
CD 06257;STOCK, TORBEN;Rocket;Tonight;Spotify;4 / 0,000 / 0,000;0,00
CD 06257;STOCK, TORBEN;Rocket;Sad Movie Song;Spotify;8 / 0,000 / 0,000;0,00
CD 06257;STOCK, TORBEN;Rocket;Rocket;Spotify;8 / 0,002 / 0,002;0,01
CD 06257;STOCK, TORBEN;Rocket;Conamara Instr,;Spotify;3 / 0,000 / 0,000;0,00
CD 06257;STOCK, TORBEN;Rocket;Cold Breeze;Spotify;4 / 0,000 / 0,000;0,00
CD 06257;STOCK, TORBEN;Rocket;Real Lights / Great Souls;Spotify;6 / 0,001 / 0,001;0,00
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Interlude;Spotify;1 / 0,000 / 0,000;0,00
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Unlink;Spotify;1 / 0,000 / 0,000;0,00
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;U;YouTube;10 / 0,000 / 0,000;0,00
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Stzar;Spotify;1 / 0,000 / 0,000;0,00
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;At The Corner;Spotify;2 / 0,006 / 0,005;0,01
CD 06261;OWLS OF THE SWAMP  ;Go With River;So Far Away;YouTube;79 / 0,000 / 0,000;0,00
