statement national reference no: 921735, date: 31.05.2016, salesperiode: 01.05.2016-31.05.2016

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06255;Binoculers/EverySeaman s...;19 / 19;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;61 / 59;0 / 0;2 / 5,329 / 3,624;7,25;0;0 / 0,000 / 0,000;-0,00;0;7,25
CD 06275;FrogbellyAndSymphony/BlueBright...;121 / 121;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06277;Phia/TheOceanOfEverything;0 / 0;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06252;V.A./MelodicaCompilation1;18 / 18;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06254;KidDecker/YourKind;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06261;OwlsOfTheSwamp/GoWithRiver;14 / 14;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06263;V.A./MelodicaCompilation2;8 / 8;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06267;LizHanley/TheEcstasy...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06270;St.Allen/WreckThe...;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06272;OwlsOfTheSwamp/Atlas;93 / 93;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13906;EmmyMoll/AllTheMonsters;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13913;J.Ufer/KopfInDenSternen;0 / 0;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06276;FrogbellyAndSymphony/BlueBright...;45 / 45;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*05257;Binoculers/EverySeaman s...;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06268;Frogbelly.../TheEye;26 / 26;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);25 / 25;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06274;M.Bisi/Ex-Nihilo;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
2;7,25;0;0,00;7,25;0,00;0;-2,17;19,39;0,00;0,00;0,00;24,46 EUR


statement international reference no: 921735, date: 31.05.2016, salesperiode: 01.05.2016-31.05.2016


total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
0;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00 EUR



statement downloads reference no: 921735, date: 31.05.2016, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Long Day;Spotify;1 / 0,008 / 0,006;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Just Look;Spotify;2 / 0,004 / 0,003;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);22h;Apple Music;1 / 0,011 / 0,009;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Long Day;Apple Music;1 / 0,011 / 0,009;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;Apple Music;1 / 0,011 / 0,009;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;Spotify;2 / 0,007 / 0,005;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Dmand;Apple Music;1 / 0,011 / 0,009;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Happy in the Dark;Apple Music;1 / 0,011 / 0,009;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);The Flowers Are Gone;Apple Music;1 / 0,011 / 0,009;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Just Look;Apple Music;2 / 0,011 / 0,009;0,02
7" 06271;LONESOME STATION;Lonesome Station (+ CD);What We ve Said;Apple Music;1 / 0,011 / 0,009;0,01
CD 06251;KID DECKER ;Reveries EP;Reveries;Xbox Music;2 / 0,023 / 0,018;0,04
CD 06251;KID DECKER ;Reveries EP;Reveries;Google Play;1 / 0,006 / 0,005;0,00
CD 06251;KID DECKER ;Reveries EP;Dead Man s Walk (Homekid Version);Apple Music;1 / 0,007 / 0,005;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Apple Music;11 / 0,002 / 0,001;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Xbox Music;7 / 0,023 / 0,018;0,13
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Xbox Music;2 / 0,023 / 0,018;0,04
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Apple Music;20 / 0,004 / 0,003;0,06
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Google Play;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Ups And Downs;Deezer;1 / 0,006 / 0,005;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;When Will It Be;Apple Music;11 / 0,002 / 0,001;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Xbox Music;1 / 0,023 / 0,018;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Deezer;1 / 0,001 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;If Need Be;Google Play;1 / 0,012 / 0,010;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Apple Music;12 / 0,002 / 0,001;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Google Play;1 / 0,006 / 0,005;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Deezer;2 / 0,005 / 0,004;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Apple Music;9 / 0,004 / 0,003;0,03
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Juke;2 / 0,004 / 0,003;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Google Play;1 / 0,012 / 0,010;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Apple Music;2 / 0,010 / 0,008;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Play;5 / 0,005 / 0,004;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Xbox Music;7 / 0,023 / 0,018;0,13
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Deezer;5 / 0,007 / 0,005;0,03
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Apple Music;1 / 0,002 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Deezer;4 / 0,006 / 0,005;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Apple Music;2 / 0,002 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Deezer;4 / 0,006 / 0,005;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Apple Music;2 / 0,002 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Apple Music;2 / 0,002 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Deezer;1 / 0,007 / 0,005;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Google Play;1 / 0,006 / 0,005;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Spotify;1 / 0,005 / 0,004;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Deezer;2 / 0,008 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Spotify;1 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Google Play;1 / 0,004 / 0,003;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Deezer;7 / 0,006 / 0,005;0,04
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Apple Music;1 / 0,002 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Can t Hear Yourself Think;Deezer;3 / 0,008 / 0,007;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Silver Ring Of The Bell;Deezer;1 / 0,007 / 0,005;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Silver Ring Of The Bell;Apple Music;1 / 0,002 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Can t Hear Yourself Think;Apple Music;2 / 0,002 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Apple Music;1 / 0,002 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Deezer;4 / 0,006 / 0,005;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;YouTube;1 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Deezer;2 / 0,008 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Apple Music;1 / 0,002 / 0,001;0,00
CD 06254;KID DECKER ;Your Kind;Reveries;Google Play;1 / 0,012 / 0,010;0,01
