statement national reference no: 922391, date: 31.08.2016, salesperiode: 01.08.2016-31.08.2016

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06255;Binoculers/EverySeaman s...;19 / 20;0 / 0;0 / 0,000 / 0,000;0,00;0;1 / 8,112 / 5,516;-5,52;0;-5,52
CD 06264;MeikeSchrader/DasGrün...;56 / 56;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06275;FrogbellyAndSymphony/BlueBright...;72 / 75;0 / 0;0 / 0,000 / 0,000;0,00;0;3 / 8,112 / 5,516;-16,55;0;-16,55
CD 06277;Phia/TheOceanOfEverything;243 / 151;0 / 10;81 / 8,326 / 5,662;458,60;0;0 / 0,000 / 0,000;-0,00;1;458,60
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06252;V.A./MelodicaCompilation1;18 / 18;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06254;KidDecker/YourKind;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06261;OwlsOfTheSwamp/GoWithRiver;14 / 14;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06263;V.A./MelodicaCompilation2;8 / 8;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06267;LizHanley/TheEcstasy...;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06270;St.Allen/WreckThe...;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06272;OwlsOfTheSwamp/Atlas;93 / 93;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13906;EmmyMoll/AllTheMonsters;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06276;FrogbellyAndSymphony/BlueBright...;48 / 48;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*05257;Binoculers/EverySeaman s...;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06268;Frogbelly.../TheEye;26 / 26;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);25 / 25;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06274;M.Bisi/Ex-Nihilo;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
81;458,60;4;-22,06;436,53;-0,97;1;-137,58;0,00;0,00;0,00;0,00;297,98 EUR


statement international reference no: 922391, date: 31.08.2016, salesperiode: 01.08.2016-31.08.2016


total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
0;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00 EUR



statement downloads reference no: 922391, date: 31.08.2016, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06256;TONFANG;The Piss;Jess;Spotify;1 / 0,004 / 0,003;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);22h;Spotify;1 / 0,001 / 0,000;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);The Flowers Are Gone;Spotify;1 / 0,008 / 0,006;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);22h;Apple Music;1 / 0,013 / 0,011;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;Apple Music;1 / 0,013 / 0,011;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);What We ve Said;Spotify;1 / 0,008 / 0,006;0,01
CD 06251;KID DECKER ;Reveries EP;Memories And Plans;Deezer;1 / 0,003 / 0,003;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Xbox Music;1 / 0,019 / 0,016;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;simfy;1 / 0,026 / 0,021;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Apple Music;5 / 0,008 / 0,006;0,03
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;iTunes;1 / 0,400 / 0,320;0,32
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Play Subscription;7 / 0,005 / 0,004;0,03
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Deezer;1 / 0,006 / 0,005;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Apple Music;2 / 0,010 / 0,008;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Aspiro - Wimp;2 / 0,002 / 0,002;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Google Play Subscription;3 / 0,005 / 0,004;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Apple Music;1 / 0,001 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;TDC Play;1 / 0,008 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Slacker;1 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Spotify;3 / 0,002 / 0,002;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Spotify;3 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Spotify;2 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Silver Ring Of The Bell;Spotify;2 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Deezer;1 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Spotify;1 / 0,005 / 0,004;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Spotify;1 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Slacker;1 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Spotify;2 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Spotify;1 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Can t Hear Yourself Think;Spotify;4 / 0,003 / 0,002;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;simfy;1 / 0,026 / 0,021;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;TDC Play;1 / 0,008 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Here We Are;Google Play Subscription;14 / 0,009 / 0,007;0,10
CD 06254;KID DECKER ;Your Kind;Stone Cold;Apple Music;1 / 0,008 / 0,007;0,01
CD 06254;KID DECKER ;Your Kind;Reveries;Rhapsody/Napster;1 / 0,008 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Your Kind;Apple Music;1 / 0,008 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;Apple Music;1 / 0,008 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Apple Music;1 / 0,008 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;simfy;5 / 0,026 / 0,021;0,10
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;simfy;5 / 0,026 / 0,021;0,10
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Deezer;1 / 0,007 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;simfy;7 / 0,026 / 0,021;0,14
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;simfy;5 / 0,026 / 0,021;0,10
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;simfy;5 / 0,026 / 0,021;0,10
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Paintbox;simfy;4 / 0,026 / 0,021;0,08
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Google Play Subscription;1 / 0,006 / 0,005;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Google Play Subscription;1 / 0,006 / 0,005;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Google Play Subscription;1 / 0,006 / 0,005;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;Google Play Subscription;1 / 0,006 / 0,005;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;Google Play Subscription;1 / 0,006 / 0,005;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;simfy;4 / 0,026 / 0,021;0,08
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Google Play Subscription;1 / 0,006 / 0,005;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship; ;iTunes;1 / 5,100 / 4,080;4,08
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Apple Music;1 / 0,008 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Google Play Subscription;2 / 0,003 / 0,003;0,01
