statement national reference no: 921091, date: 29.02.2016, salesperiode: 01.02.2016-29.02.2016

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06255;Binoculers/EverySeaman s...;19 / 19;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;58 / 58;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06272;OwlsOfTheSwamp/Atlas;93 / 93;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06275;FrogbellyAndSymphony/BlueBright...;108 / 112;0 / 0;0 / 0,000 / 0,000;0,00;0;4 / 8,112 / 5,516;-22,06;0;-22,06
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06252;V.A./MelodicaCompilation1;18 / 18;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06254;KidDecker/YourKind;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06261;OwlsOfTheSwamp/GoWithRiver;14 / 14;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06263;V.A./MelodicaCompilation2;8 / 8;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06267;LizHanley/TheEcstasy...;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06270;St.Allen/WreckThe...;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13906;EmmyMoll/AllTheMonsters;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13913;J.Ufer/KopfInDenSternen;0 / 0;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 05257;Binoculers/EverySeaman s...;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);24 / 24;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06276;FrogbellyAndSymphony/BlueBright...;44 / 44;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06268;Frogbelly.../TheEye;26 / 26;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06274;M.Bisi/Ex-Nihilo;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
0;0,00;4;-22,06;-22,06;-0,97;0;0,00;14,02;0,00;0,00;0,00;-9,01 EUR


statement international reference no: 921091, date: 29.02.2016, salesperiode: 01.02.2016-29.02.2016


total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
0;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00 EUR



statement downloads reference no: 921091, date: 29.02.2016, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06256;TONFANG;The Piss;Middleman;Spotify;1 / 0,000 / 0,000;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);22h;iTunes;1 / 0,670 / 0,536;0,54
7" 06271;LONESOME STATION;Lonesome Station (+ CD);The Flowers Are Gone;iTunes;1 / 0,670 / 0,536;0,54
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Just Look;iTunes;1 / 0,670 / 0,536;0,54
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Happy in the Dark;Spotify;1 / 0,000 / 0,000;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Happy in the Dark;iTunes;1 / 0,670 / 0,536;0,54
7" 06271;LONESOME STATION;Lonesome Station (+ CD);What We ve Said;iTunes;1 / 0,670 / 0,536;0,54
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Dmand;iTunes;1 / 0,670 / 0,536;0,54
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Just Look;Spotify;1 / 0,001 / 0,001;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Long Day;Spotify;1 / 0,001 / 0,001;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Long Day;iTunes;1 / 0,670 / 0,536;0,54
7" 06271;LONESOME STATION;Lonesome Station (+ CD);22h;Spotify;2 / 0,001 / 0,001;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;iTunes;1 / 0,670 / 0,536;0,54
CD 06251;KID DECKER ;Reveries EP;Reveries;Xbox Music;1 / 0,027 / 0,022;0,02
CD 06251;KID DECKER ;Reveries EP;Reveries;Apple Music;1 / 0,001 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;When Will It Be;Apple Music;1 / 0,001 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Play;4 / 0,005 / 0,004;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Apple Music;1 / 0,002 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Google Play;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Google Play;5 / 0,005 / 0,004;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Apple Music;9 / 0,002 / 0,001;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Xbox Music;1 / 0,027 / 0,022;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Deezer;1 / 0,003 / 0,003;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Deezer;1 / 0,003 / 0,002;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Xbox Music;1 / 0,027 / 0,022;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Apple Music;1 / 0,001 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Xbox Music;2 / 0,027 / 0,022;0,04
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Apple Music;2 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Spotify;2 / 0,002 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Spotify;1 / 0,003 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Spotify;1 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Apple Music;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Spotify;4 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Spotify;2 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Deezer;1 / 0,010 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Deezer;1 / 0,010 / 0,008;0,01
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Apple Music;1 / 0,001 / 0,001;0,00
CD 06254;KID DECKER ;Your Kind;Look About Ready;Google Play;1 / 0,009 / 0,007;0,01
CD 06254;KID DECKER ;Your Kind;The Munchkins;Google Play;1 / 0,009 / 0,007;0,01
CD 06254;KID DECKER ;Your Kind;Too Late;Google Play;5 / 0,009 / 0,007;0,04
CD 06254;KID DECKER ;Your Kind;Your Kind;Apple Music;1 / 0,001 / 0,001;0,00
CD 06254;KID DECKER ;Your Kind;Stone Cold;Google Play;1 / 0,009 / 0,007;0,01
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Google Play;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;Google Play;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Deezer;2 / 0,007 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Google Play;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;Google Play;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;Google Play;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;Google Play;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Google Play;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Deezer;1 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Google Play;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Deezer;2 / 0,007 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Deezer;1 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;Google Play;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Apple Music;1 / 0,001 / 0,001;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Google Play;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Apple Music;1 / 0,001 / 0,001;0,00
