statement national reference no: 921305, date: 31.03.2016, salesperiode: 01.03.2016-31.03.2016

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06255;Binoculers/EverySeaman s...;19 / 19;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;58 / 61;0 / 0;0 / 0,000 / 0,000;0,00;0;3 / 8,112 / 5,516;-16,55;0;-16,55
CD 06272;OwlsOfTheSwamp/Atlas;93 / 93;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06275;FrogbellyAndSymphony/BlueBright...;112 / 115;0 / 0;0 / 0,000 / 0,000;0,00;-1;2 / 8,559 / 5,820;-11,64;0;-11,64
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06252;V.A./MelodicaCompilation1;18 / 18;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06254;KidDecker/YourKind;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06261;OwlsOfTheSwamp/GoWithRiver;14 / 14;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06263;V.A./MelodicaCompilation2;8 / 8;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06267;LizHanley/TheEcstasy...;5 / 4;0 / 0;0 / 0,000 / 0,000;0,00;1;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06270;St.Allen/WreckThe...;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13906;EmmyMoll/AllTheMonsters;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;3 / 2;0 / 0;1 / 5,397 / 3,670;3,67;0;0 / 0,000 / 0,000;-0,00;0;3,67
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13913;J.Ufer/KopfInDenSternen;0 / 0;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 05257;Binoculers/EverySeaman s...;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);24 / 24;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06276;FrogbellyAndSymphony/BlueBright...;44 / 45;0 / 0;0 / 0,000 / 0,000;0,00;0;1 / 13,515 / 9,190;-9,19;0;-9,19
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06268;Frogbelly.../TheEye;26 / 26;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06274;M.Bisi/Ex-Nihilo;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
1;3,67;6;-37,38;-33,71;-1,65;0;-2,70;8,57;0,00;0,00;0,00;-29,48 EUR


statement international reference no: 921305, date: 31.03.2016, salesperiode: 01.03.2016-31.03.2016


article no.;artist / title;export sales/prices;amount export;returns export qty/dealer/net(aver.);amount returns exp.;f.o.c. exp.;total amount
CD 06275;FrogbellyAndSymphony/BlueBright...;0 / 0,000 / 0,000;0,00;1 / 6,000 / 4,620;-4,62;0;-4,62
CD*06267;LizHanley/TheEcstasy...;1 / 6,910 / 5,321;5,32;0 / 0,000 / 0,000;-0,00;0;5,32

total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
1;5,32;1;-4,62;-0,18;0;0,70;0,00;0,00;0,52 EUR



statement downloads reference no: 921305, date: 31.03.2016, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06256;TONFANG;The Piss;Middleman;Spotify;2 / 0,000 / 0,000;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;Spotify;1 / 0,007 / 0,006;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Long Day;Spotify;2 / 0,008 / 0,006;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);22h;Spotify;3 / 0,003 / 0,002;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);What We ve Said;Spotify;1 / 0,007 / 0,006;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);The Flowers Are Gone;Spotify;1 / 0,007 / 0,006;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Just Look;Spotify;1 / 0,007 / 0,006;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Happy in the Dark;Spotify;1 / 0,007 / 0,006;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Dmand;Spotify;1 / 0,007 / 0,006;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;Apple Music;1 / 0,011 / 0,009;0,01
CD 06251;KID DECKER ;Reveries EP;Reveries;Xbox Music;4 / 0,028 / 0,022;0,09
CD 06251;KID DECKER ;Reveries EP;Reveries;Apple Music;4 / 0,002 / 0,001;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Apple Music;1 / 0,002 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Deezer;1 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Play;4 / 0,005 / 0,004;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Google Play;2 / 0,005 / 0,004;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Apple Music;9 / 0,006 / 0,005;0,04
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Xbox Music;4 / 0,028 / 0,022;0,09
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Xbox Music;1 / 0,028 / 0,022;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Silver Ring Of The Bell;Apple Music;1 / 0,002 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Silver Ring Of The Bell;Deezer;1 / 0,011 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Can t Hear Yourself Think;Apple Music;1 / 0,002 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Can t Hear Yourself Think;Deezer;1 / 0,011 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Apple Music;2 / 0,002 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Deezer;2 / 0,011 / 0,008;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Spotify;1 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;YouTube;1 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Spotify;1 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Deezer;2 / 0,011 / 0,008;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Apple Music;1 / 0,012 / 0,009;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Deezer;1 / 0,011 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Apple Music;1 / 0,002 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Deezer;1 / 0,011 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Deezer;1 / 0,011 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Apple Music;2 / 0,007 / 0,005;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Deezer;1 / 0,011 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Apple Music;1 / 0,012 / 0,009;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Deezer;1 / 0,011 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Apple Music;1 / 0,012 / 0,009;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Deezer;1 / 0,011 / 0,008;0,01
CD 06254;KID DECKER ;Your Kind;Your Kind;Apple Music;1 / 0,002 / 0,001;0,00
CD 06254;KID DECKER ;Your Kind;Too Late;Apple Music;1 / 0,002 / 0,001;0,00
CD 06254;KID DECKER ;Your Kind;The Munchkins;Google Play;1 / 0,012 / 0,010;0,01
CD 06254;KID DECKER ;Your Kind;Reveries;Napster;3 / 0,008 / 0,006;0,02
CD 06254;KID DECKER ;Your Kind;Reveries;iTunes;2 / 0,605 / 0,484;0,97
CD 06254;KID DECKER ;Your Kind;Look About Ready;Google Play;1 / 0,012 / 0,010;0,01
CD 06254;KID DECKER ;Your Kind;Falling;Apple Music;1 / 0,002 / 0,001;0,00
CD 06254;KID DECKER ;Your Kind;Disposable;Apple Music;1 / 0,002 / 0,001;0,00
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Apple Music;2 / 0,002 / 0,001;0,00
CD 06254;KID DECKER ;Your Kind;Here We Are;Apple Music;1 / 0,002 / 0,001;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;Apple Music;1 / 0,006 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Deezer;3 / 0,007 / 0,006;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;Google Play;11 / 0,000 / 0,000;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;Deezer;1 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Apple Music;1 / 0,006 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;Apple Music;1 / 0,006 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Xbox Music;1 / 0,028 / 0,022;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Deezer;2 / 0,004 / 0,003;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;Google Play;12 / 0,000 / 0,000;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;Deezer;1 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Google Play;11 / 0,000 / 0,000;0,00
