statement national reference no: 921952, date: 30.06.2016, salesperiode: 01.06.2016-30.06.2016

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 0;0 / 0;1 / 1,796 / 1,221;1,22;0;0 / 0,000 / 0,000;-0,00;0;1,22
7"*06271;LonesomeStation/s.t.;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06255;Binoculers/EverySeaman s...;19 / 19;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;59 / 58;0 / 0;1 / 5,388 / 3,664;3,66;0;0 / 0,000 / 0,000;-0,00;0;3,66
CD 06275;FrogbellyAndSymphony/BlueBright...;121 / 125;0 / 0;1 / 8,404 / 5,715;5,71;0;5 / 7,988 / 5,432;-27,16;0;-21,44
CD 06277;Phia/TheOceanOfEverything;0 / 250;250 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06252;V.A./MelodicaCompilation1;18 / 18;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06254;KidDecker/YourKind;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06261;OwlsOfTheSwamp/GoWithRiver;14 / 14;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06263;V.A./MelodicaCompilation2;8 / 8;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06267;LizHanley/TheEcstasy...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06270;St.Allen/WreckThe...;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06272;OwlsOfTheSwamp/Atlas;93 / 93;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13906;EmmyMoll/AllTheMonsters;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06276;FrogbellyAndSymphony/BlueBright...;45 / 46;0 / 0;0 / 0,000 / 0,000;0,00;0;1 / 12,172 / 8,277;-8,28;0;-8,28
LP*05257;Binoculers/EverySeaman s...;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06268;Frogbelly.../TheEye;26 / 26;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);25 / 25;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06274;M.Bisi/Ex-Nihilo;5 / 4;0 / 0;1 / 8,997 / 6,118;6,12;0;0 / 0,000 / 0,000;-0,00;0;6,12
LP*13902;AstridsFarm/Cyclist;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
4;16,72;6;-35,44;-18,72;-1,56;0;-5,02;5,36;0,00;0,00;0,00;-19,94 EUR


statement international reference no: 921952, date: 30.06.2016, salesperiode: 01.06.2016-30.06.2016


total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
0;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00 EUR



statement downloads reference no: 921952, date: 30.06.2016, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06256;TONFANG;The Piss;Middleman;Napster;1 / 0,007 / 0,006;0,01
7" 06256;TONFANG;The Piss;Jess;Spotify;2 / 0,003 / 0,002;0,00
7" 06256;TONFANG;The Piss;Dieff;Napster;1 / 0,007 / 0,006;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);The Flowers Are Gone;Spotify;1 / 0,000 / 0,000;0,00
CD 06251;KID DECKER ;Reveries EP;Reveries;Xbox Music;2 / 0,024 / 0,019;0,04
CD 06251;KID DECKER ;Reveries EP;Reveries;Apple Music;1 / 0,009 / 0,007;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Deezer;1 / 0,007 / 0,005;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Deezer;1 / 0,008 / 0,007;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;8tracks;10 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Deezer;1 / 0,008 / 0,007;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Xbox Music;3 / 0,024 / 0,019;0,06
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Deezer;4 / 0,009 / 0,007;0,03
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Apple Music;2 / 0,009 / 0,007;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Deezer;1 / 0,008 / 0,007;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Apple Music;16 / 0,008 / 0,006;0,10
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Deezer;1 / 0,008 / 0,007;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Xbox Music;2 / 0,024 / 0,019;0,04
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Apple Music;1 / 0,009 / 0,007;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;When Will It Be;Apple Music;3 / 0,009 / 0,007;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Deezer;1 / 0,008 / 0,007;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google;8 / 0,005 / 0,004;0,03
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;TDC Play;1 / 0,008 / 0,007;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Xbox Music;2 / 0,024 / 0,019;0,04
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Apple Music;2 / 0,009 / 0,007;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Wimp;2 / 0,011 / 0,009;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Deezer;2 / 0,006 / 0,005;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Google;4 / 0,005 / 0,004;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Can t Hear Yourself Think;Deezer;1 / 0,007 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;TDC Play;1 / 0,008 / 0,007;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Spotify;2 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Deezer;2 / 0,004 / 0,003;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Can t Hear Yourself Think;Spotify;2 / 0,005 / 0,004;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Silver Ring Of The Bell;Spotify;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Silver Ring Of The Bell;Deezer;1 / 0,007 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;TDC Play;1 / 0,008 / 0,007;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Spotify;1 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Deezer;1 / 0,007 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Deezer;1 / 0,007 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Your Kind;Google;5 / 0,000 / 0,000;0,00
CD 06254;KID DECKER ;Your Kind;Your Kind;Apple Music;3 / 0,009 / 0,007;0,02
CD 06254;KID DECKER ;Your Kind;Too Late;Google;5 / 0,000 / 0,000;0,00
CD 06254;KID DECKER ;Your Kind;The Munchkins;Apple Music;2 / 0,008 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Stone Cold;Apple Music;2 / 0,009 / 0,007;0,01
CD 06254;KID DECKER ;Your Kind;Reveries;Napster;1 / 0,007 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Look About Ready;Napster;1 / 0,007 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Look About Ready;Apple Music;1 / 0,009 / 0,007;0,01
CD 06254;KID DECKER ;Your Kind;Here We Are;Google;2 / 0,012 / 0,009;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Deezer;3 / 0,010 / 0,008;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Apple Music;6 / 0,007 / 0,006;0,03
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;YouTube;1 / 0,002 / 0,001;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Deezer;3 / 0,010 / 0,008;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Apple Music;2 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Apple Music;2 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Deezer;3 / 0,010 / 0,008;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;Deezer;5 / 0,009 / 0,007;0,04
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;Apple Music;3 / 0,007 / 0,005;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;Apple Music;4 / 0,008 / 0,006;0,03
