statement national reference no: 922172, date: 31.07.2016, salesperiode: 01.07.2016-31.07.2016

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;0 / 1;0 / 0;-1 / 1,796 / 1,221;-1,22;0;0 / 0,000 / 0,000;-0,00;0;-1,22
7"*06271;LonesomeStation/s.t.;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06255;Binoculers/EverySeaman s...;19 / 19;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;58 / 56;0 / 0;2 / 6,107 / 4,153;8,31;0;0 / 0,000 / 0,000;-0,00;0;8,31
CD 06275;FrogbellyAndSymphony/BlueBright...;125 / 72;0 / 60;0 / 0,000 / 0,000;0,00;-1;6 / 8,642 / 5,877;-35,26;0;-35,26
CD 06277;Phia/TheOceanOfEverything;250 / 243;0 / 7;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06252;V.A./MelodicaCompilation1;18 / 18;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06254;KidDecker/YourKind;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06261;OwlsOfTheSwamp/GoWithRiver;14 / 14;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06263;V.A./MelodicaCompilation2;8 / 8;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06267;LizHanley/TheEcstasy...;4 / 3;0 / 0;0 / 0,000 / 0,000;0,00;1;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06270;St.Allen/WreckThe...;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06272;OwlsOfTheSwamp/Atlas;93 / 93;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13906;EmmyMoll/AllTheMonsters;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06276;FrogbellyAndSymphony/BlueBright...;46 / 48;1 / 0;0 / 0,000 / 0,000;0,00;0;1 / 12,172 / 8,277;-8,28;0;-8,28
LP*05257;Binoculers/EverySeaman s...;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06268;Frogbelly.../TheEye;26 / 26;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);25 / 25;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06274;M.Bisi/Ex-Nihilo;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
1;7,08;7;-43,54;-36,45;-1,92;0;-3,71;5,08;-13,00;0,00;0,00;-50,00 EUR


statement international reference no: 922172, date: 31.07.2016, salesperiode: 01.07.2016-31.07.2016


article no.;artist / title;export sales/prices;amount export;returns export qty/dealer/net(aver.);amount returns exp.;f.o.c. exp.;total amount
CD 06275;FrogbellyAndSymphony/BlueBright...;0 / 0,000 / 0,000;0,00;1 / 6,000 / 4,620;-4,62;0;-4,62
CD*06267;LizHanley/TheEcstasy...;1 / 6,875 / 5,294;5,29;0 / 0,000 / 0,000;-0,00;0;5,29

total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 16%;v.a.t. / tax 7%;total value to be transfered
1;5,29;1;-4,62;-0,18;0;0,67;0,00;0,00;0,49 EUR



statement downloads reference no: 922172, date: 31.07.2016, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Long Day;Apple Music;1 / 0,012 / 0,009;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Dmand;Apple Music;1 / 0,012 / 0,009;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Just Look;Apple Music;2 / 0,012 / 0,009;0,02
7" 06271;LONESOME STATION;Lonesome Station (+ CD);What We ve Said;Apple Music;1 / 0,012 / 0,009;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);22h;Apple Music;1 / 0,012 / 0,009;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;Apple Music;1 / 0,012 / 0,009;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Happy in the Dark;Apple Music;1 / 0,012 / 0,009;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);The Flowers Are Gone;Apple Music;1 / 0,012 / 0,009;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Wimp;1 / 0,015 / 0,012;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Apple Music;2 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Deezer;1 / 0,004 / 0,003;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;8tracks;5 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Wimp;1 / 0,015 / 0,012;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Apple Music;4 / 0,009 / 0,007;0,03
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Xbox Music;1 / 0,021 / 0,017;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Google;1 / 0,010 / 0,008;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Xbox Music;1 / 0,021 / 0,017;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Wimp;1 / 0,015 / 0,012;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Google;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Ups And Downs;Deezer;1 / 0,009 / 0,007;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;When Will It Be;Wimp;2 / 0,013 / 0,010;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google;2 / 0,006 / 0,005;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Wimp;1 / 0,014 / 0,011;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Apple Music;1 / 0,009 / 0,007;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;8tracks;1 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Wimp;1 / 0,015 / 0,012;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Wimp;1 / 0,015 / 0,012;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Apple Music;1 / 0,006 / 0,005;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;8tracks;1 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Wimp;1 / 0,015 / 0,012;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Deezer;2 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Wimp;1 / 0,015 / 0,012;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Apple Music;2 / 0,009 / 0,007;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Apple Music;11 / 0,008 / 0,006;0,07
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Wimp;1 / 0,015 / 0,012;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;When Will It Be;Apple Music;5 / 0,009 / 0,007;0,04
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;8tracks;1 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;TDC Play;3 / 0,008 / 0,006;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Deezer;1 / 0,010 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Apple Music;1 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Deezer;2 / 0,010 / 0,008;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Spotify;1 / 0,006 / 0,005;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Deezer;2 / 0,010 / 0,008;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Silver Ring Of The Bell;Spotify;1 / 0,001 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Deezer;5 / 0,007 / 0,005;0,03
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Deezer;2 / 0,010 / 0,008;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Spotify;1 / 0,005 / 0,004;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Deezer;1 / 0,010 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Deezer;2 / 0,010 / 0,008;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Deezer;2 / 0,010 / 0,008;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Silver Ring Of The Bell;Deezer;1 / 0,010 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Can t Hear Yourself Think;Deezer;2 / 0,010 / 0,008;0,02
CD 06254;KID DECKER ;Your Kind;Too Late;8tracks;1 / 0,000 / 0,000;0,00
CD 06254;KID DECKER ;Your Kind;Here We Are;Google;12 / 0,011 / 0,008;0,10
CD 06254;KID DECKER ;Your Kind;Your Kind;Apple Music;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;Apple Music;1 / 0,009 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;Apple Music;2 / 0,009 / 0,007;0,01
CD 06257;STOCK, TORBEN;Rocket;Cold Breeze;Spotify;1 / 0,005 / 0,004;0,00
CD 06257;STOCK, TORBEN;Rocket;Kiss Me Good Night;Apple Music;1 / 0,007 / 0,005;0,01
