statement national reference no: 922832, date: 31.10.2016, salesperiode: 01.10.2016-31.10.2016

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06255;Binoculers/EverySeaman s...;20 / 20;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;55 / 55;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06275;FrogbellyAndSymphony/BlueBright...;77 / 77;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06277;Phia/TheOceanOfEverything;107 / 99;0 / 0;7 / 8,565 / 5,824;40,77;3;2 / 9,399 / 6,391;-12,78;0;27,99
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06252;V.A./MelodicaCompilation1;18 / 18;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06254;KidDecker/YourKind;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06261;OwlsOfTheSwamp/GoWithRiver;14 / 14;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06263;V.A./MelodicaCompilation2;8 / 8;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06267;LizHanley/TheEcstasy...;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06270;St.Allen/WreckThe...;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06272;OwlsOfTheSwamp/Atlas;93 / 93;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13906;EmmyMoll/AllTheMonsters;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 3;0 / 0;0 / 0,000 / 0,000;0,00;1;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06276;FrogbellyAndSymphony/BlueBright...;48 / 48;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*05257;Binoculers/EverySeaman s...;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06268;Frogbelly.../TheEye;26 / 26;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);25 / 25;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06274;M.Bisi/Ex-Nihilo;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;4 / 2;0 / 0;2 / 4,990 / 3,393;6,79;0;0 / 0,000 / 0,000;-0,00;0;6,79

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 19%;v.a.t. / tax 7%;total value to be paid
9;47,56;2;-12,78;34,77;-0,56;0;-19,96;0,00;0,00;0,00;0,00;14,25 EUR


statement international reference no: 922832, date: 31.10.2016, salesperiode: 01.10.2016-31.10.2016


article no.;artist / title;export sales/prices;amount export;returns export qty/dealer/net(aver.);amount returns exp.;f.o.c. exp.;total amount
CD 06277;Phia/TheOceanOfEverything;3 / 6,637 / 5,110;15,33;0 / 0,000 / 0,000;-0,00;0;15,33
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;1 / 4,750 / 3,658;3,66;0 / 0,000 / 0,000;-0,00;0;3,66

total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 19%;v.a.t. / tax 7%;total value to be paid
4;18,99;0;0,00;0,00;0;18,99;0,00;0,00;18,99 EUR



summary physical sales

article no.;barcode;label no.;artist;title;net sales domestic;net sales export;net sales total;net amount domestic;net amount export;net amount total;handling fee returns
7"*06256;"4250137262567"; ;TONFANG;The Piss;0;0;0;0;0;0;0
7"*06271;"4250137262710"; ;LONESOME STATION;Lonesome Station (+ CD);0;0;0;0;0;0;0
CD 06255;"4250137262550";LS0009;BINOCULERS;Every Seaman s Got A Favourite Spaceship;0;0;0;0;0;0;0
CD 06264;"4250137262642";LS0024;SCHRADER, MEIKE;Das Grün In Deinen Augen;0;0;0;0;0;0;0
CD 06275;"4250137262758";LS0041;FROGBELLY AND SYMPHONY;Blue Bright Ow Sleep;0;0;0;0;0;0;0
CD 06277;"4250137262772"; ;PHIA;The Ocean Of Everything;5;3;8;27,99;15,33;43,32;0,56
CD*06251;"4250137262512";LS0011;KID DECKER ;Reveries EP;0;0;0;0;0;0;0
CD*06252;"4250137262529";LS0013;VARIOUS ARTISTS;Melodica Compilation #1 ;0;0;0;0;0;0;0
CD*06253;"4250137262536";LS0015;DEAR JOHN LETTER ;Part And Fragment;0;0;0;0;0;0;0
CD*06254;"4250137262543";LS0018;KID DECKER ;Your Kind;0;0;0;0;0;0;0
CD*06257;"4250137262574"; ;STOCK, TORBEN;Rocket;0;0;0;0;0;0;0
CD*06258;"4250137262581";LS0021;OVERDRIVE AMP EXPLOSION ;Blanks;0;0;0;0;0;0;0
CD*06260;"4250137262604";LS0022;STARS FOR THE BANNED ;Stars For The Banned;0;0;0;0;0;0;0
CD*06261;"4250137262611";LS0023;OWLS OF THE SWAMP  ;Go With River;0;0;0;0;0;0;0
CD*06263;"4250137262635"; ;VARIOUS ARTISTS;Melodica Compilation #2;0;0;0;0;0;0;0
CD*06265;"4250137262659";LS0027;WILCKENS, NIKOLAI;Stories The Sea Told Me At Night;0;0;0;0;0;0;0
CD*06266;"4250137262666";LS0030;OUTROADS;I Am Happy;0;0;0;0;0;0;0
CD*06267;"4250137262673";LS0029;HANLEY, LIZ;The Ecstasy Of St, Cécilia;0;0;0;0;0;0;0
CD*06270;"4250137262703";LS0036;ALLEN, STEVE;Wreck the Place;0;0;0;0;0;0;0
CD*06272;"4250137262727";LS0038CD;OWLS OF THE SWAMP;Atlas;0;0;0;0;0;0;0
CD*13901;"4024572340476";LS0001CD;ASTRID S FARM ;Cyclist;0;0;0;0;0;0;0
CD*13903;"4024572340483";LS0002CD;XRFARFLIGHT ;The Early Bird;0;0;0;0;0;0;0
CD*13906;"4024572352899";LS0004CD;EMMY MOLL;All The Monsters;0;0;0;0;0;0;0
CD*13908;"4024572354909";LS0005CD;DEAR JOHN LETTER ;Between Leaves/Forestal;0;0;0;0;0;0;0
CD*13910;"4024572354985";LS0006CD;FRAU KRAUSHAAR ;Le Salon Is Very Morbidä;0;1;1;0;3,66;3,66;0
CD*13912;"4024572361839";LS0007CD;VARIOUS ARTISTS;Introducing Labelship ;0;0;0;0;0;0;0
LP 06276;"4250137262765"; ;FROGBELLY AND SYMPHONY;Blue Bright Ow Sleep (Lim,Ed);0;0;0;0;0;0;0
LP*05257;"4250137252575";LSLP0009;BINOCULERS;Every Seaman s Got A Favourite Spaceship;0;0;0;0;0;0;0
LP*06259;"4250137262598";LS0020;OVERDRIVE AMP EXPLOSION/EASY TIGER ;Overdrive Amp Explosion/Easy Tiger (Split-LP);0;0;0;0;0;0;0
LP*06268;"4250137262680";LS0032;FROGBELLY AND SYMPHONY;The Eye EP (+CD);0;0;0;0;0;0;0
LP*06273;"4250137262734";LS0038LP;OWLS OF THE SWAMP;Atlas (Lim,Ed,);0;0;0;0;0;0;0
LP*06274;"4250137262741";LS0039;BISI, MARTIN ;Ex-Nihilo ;0;0;0;0;0;0;0
LP*13902;"4024572341176";LS0001LP;ASTRID S FARM ;Cyclist;0;0;0;0;0;0;0
LP*13904;"4024572341183";LS0002LP;XRFARFLIGHT ;The Early Bird;0;0;0;0;0;0;0
LP*13907;"4024572354916";LS0004LP;EMMY MOLL;All The Monsters;0;0;0;0;0;0;0
LP*13909;"4024572354893";LS0005LP;DEAR JOHN LETTER ;Between Leaves/Forestal;0;0;0;0;0;0;0
LP*13911;"4024572354978";LS0006LP;FRAU KRAUSHAAR ;Le Salon Is Very Morbidä;2;0;2;6,79;0;6,79;0


statement downloads reference no: 922832, date: 31.10.2016, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06256;TONFANG;The Piss;Middleman (4Track Mix);Spotify;1 / 0,001 / 0,001;0,00
7" 06256;TONFANG;The Piss;Jess;Spotify;2 / 0,005 / 0,004;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Dmand;Amazon cloud;5 / 0,000 / 0,000;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Happy in the Dark;Apple Music;1 / 0,013 / 0,011;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);The Flowers Are Gone;Amazon cloud;5 / 0,000 / 0,000;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;Amazon cloud;5 / 0,000 / 0,000;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Dmand;Apple Music;1 / 0,013 / 0,011;0,01
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Just Look;Amazon cloud;5 / 0,000 / 0,000;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);What We ve Said;KKBOX;1 / 0,002 / 0,002;0,00
CD 06251;KID DECKER ;Reveries EP;Dead Man s Walk (Homekid Version);Google Play Scan;5 / 0,000 / 0,000;0,00
CD 06251;KID DECKER ;Reveries EP;Reveries;Apple Music;1 / 0,002 / 0,001;0,00
CD 06251;KID DECKER ;Reveries EP;Memories And Plans;Google Play Scan;5 / 0,000 / 0,000;0,00
CD 06251;KID DECKER ;Reveries EP;Reveries;Google Play Scan;5 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Apple Music;2 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Deezer;2 / 0,003 / 0,002;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Aspiro - Wimp;10 / 0,012 / 0,010;0,10
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Google Play Subscription;1 / 0,007 / 0,005;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Aspiro - Wimp;2 / 0,009 / 0,007;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;8tracks;6 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Aspiro - Wimp;3 / 0,010 / 0,008;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Apple Music;2 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Deezer;3 / 0,004 / 0,003;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;If Need Be;Aspiro - Wimp;3 / 0,009 / 0,007;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Apple Music;2 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Deezer;2 / 0,003 / 0,002;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Apple Music;1 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Deezer;2 / 0,003 / 0,002;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Aspiro - Wimp;2 / 0,009 / 0,007;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Google Play Subscription;4 / 0,005 / 0,004;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Aspiro - Wimp;3 / 0,010 / 0,008;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Ups And Downs;Apple Music;1 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Ups And Downs;Deezer;1 / 0,010 / 0,008;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;When Will It Be;Aspiro - Wimp;2 / 0,011 / 0,009;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Aspiro - Wimp;12 / 0,012 / 0,010;0,12
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Aspiro - Wimp;2 / 0,011 / 0,009;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Apple Music;2 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Deezer;3 / 0,004 / 0,003;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Apple Music;2 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Deezer;2 / 0,003 / 0,002;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Apple Music;2 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Deezer;2 / 0,003 / 0,002;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Aspiro - Wimp;3 / 0,009 / 0,007;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;If Need Be;Apple Music;1 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;If Need Be;Deezer;2 / 0,003 / 0,002;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Aspiro - Wimp;4 / 0,006 / 0,005;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Google Play Subscription;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Aspiro - Wimp;2 / 0,011 / 0,009;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Apple Music;8 / 0,008 / 0,007;0,05
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Deezer;2 / 0,003 / 0,002;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Apple Music;1 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Deezer;2 / 0,003 / 0,002;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Ups And Downs;Aspiro - Wimp;3 / 0,010 / 0,008;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;When Will It Be;Apple Music;1 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;When Will It Be;Deezer;2 / 0,003 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Amazon cloud;1 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Spotify;2 / 0,002 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Deezer;1 / 0,003 / 0,003;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Deezer;1 / 0,010 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Spotify;3 / 0,003 / 0,002;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Aspiro - Wimp;1 / 0,010 / 0,008;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Amazon cloud;1 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Amazon cloud;1 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Spotify;1 / 0,000 / 0,000;0,00
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Aspiro - Wimp;9 / 0,009 / 0,007;0,06
CD 06254;KID DECKER ;Your Kind;Disposable;Aspiro - Wimp;7 / 0,009 / 0,007;0,05
CD 06254;KID DECKER ;Your Kind;Here We Are;Aspiro - Wimp;9 / 0,009 / 0,007;0,06
CD 06254;KID DECKER ;Your Kind;Look About Ready;Aspiro - Wimp;10 / 0,009 / 0,007;0,07
CD 06254;KID DECKER ;Your Kind;Stone Cold;Aspiro - Wimp;8 / 0,009 / 0,007;0,06
CD 06254;KID DECKER ;Your Kind;The Munchkins;Aspiro - Wimp;11 / 0,009 / 0,007;0,08
CD 06254;KID DECKER ;Your Kind;Where It Lies;Aspiro - Wimp;11 / 0,009 / 0,007;0,08
CD 06254;KID DECKER ;Your Kind;Your Kind;Aspiro - Wimp;8 / 0,009 / 0,007;0,06
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Google Play Subscription;1 / 0,005 / 0,004;0,00
CD 06254;KID DECKER ;Your Kind;Falling;Aspiro - Wimp;11 / 0,009 / 0,007;0,08
CD 06254;KID DECKER ;Your Kind;Here We Are;Google Play Subscription;9 / 0,008 / 0,007;0,06
CD 06254;KID DECKER ;Your Kind;Reveries;Aspiro - Wimp;11 / 0,009 / 0,007;0,08
CD 06254;KID DECKER ;Your Kind;The Munchkins;Apple Music;1 / 0,007 / 0,005;0,01
CD 06254;KID DECKER ;Your Kind;Too Late;Aspiro - Wimp;9 / 0,009 / 0,007;0,06
CD 06254;KID DECKER ;Your Kind;Your Kind;Apple Music;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;KKBOX;1 / 0,010 / 0,008;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Apple Music;1 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Apple Music;2 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Apple Music;1 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Apple Music;1 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Apple Music;1 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;Apple Music;2 / 0,007 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;Apple Music;1 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;Apple Music;1 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;Apple Music;1 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;Apple Music;2 / 0,004 / 0,003;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Paintbox;Apple Music;1 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Apple Music;1 / 0,007 / 0,005;0,01
CD 06257;STOCK, TORBEN;Rocket;Cold Breeze;Spotify;1 / 0,007 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Kiss Me Good Night;KKBOX;1 / 0,002 / 0,002;0,00
CD 06257;STOCK, TORBEN;Rocket;Rocket;Spotify;5 / 0,002 / 0,002;0,01
