statement national reference no: 923271, date: 31.12.2016, salesperiode: 01.12.2016-31.12.2016

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06255;Binoculers/EverySeaman s...;20 / 20;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;55 / 55;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06275;FrogbellyAndSymphony/BlueBright...;78 / 78;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06277;Phia/TheOceanOfEverything;97 / 98;0 / 0;2 / 8,627 / 5,867;11,73;1;4 / 8,112 / 5,516;-22,06;0;-10,33
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06252;V.A./MelodicaCompilation1;18 / 18;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06254;KidDecker/YourKind;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06261;OwlsOfTheSwamp/GoWithRiver;14 / 13;0 / 0;1 / 6,601 / 4,489;4,49;0;0 / 0,000 / 0,000;-0,00;0;4,49
CD*06263;V.A./MelodicaCompilation2;8 / 8;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06267;LizHanley/TheEcstasy...;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06270;St.Allen/WreckThe...;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06272;OwlsOfTheSwamp/Atlas;93 / 93;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13906;EmmyMoll/AllTheMonsters;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06276;FrogbellyAndSymphony/BlueBright...;48 / 48;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*05257;Binoculers/EverySeaman s...;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06268;Frogbelly.../TheEye;26 / 26;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);25 / 24;0 / 0;0 / 0,000 / 0,000;0,00;1;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06274;M.Bisi/Ex-Nihilo;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 19%;v.a.t. / tax 7%;total value to be paid
3;16,22;4;-22,06;-5,84;-0,97;0;-8,72;5,02;0,00;0,00;0,00;-10,52 EUR


statement international reference no: 923271, date: 31.12.2016, salesperiode: 01.12.2016-31.12.2016


article no.;artist / title;export sales/prices;amount export;returns export qty/dealer/net(aver.);amount returns exp.;f.o.c. exp.;total amount
CD 06277;Phia/TheOceanOfEverything;1 / 7,300 / 5,621;5,62;0 / 0,000 / 0,000;-0,00;0;5,62
LP*06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);1 / 9,393 / 7,232;7,23;0 / 0,000 / 0,000;-0,00;0;7,23

total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 19%;v.a.t. / tax 7%;total value to be paid
2;12,85;0;0,00;0,00;0;12,85;0,00;0,00;12,85 EUR



summary physical sales

article no.;barcode;label no.;artist;title;net sales domestic;net sales export;net sales total;net amount domestic;net amount export;net amount total;handling fee returns
7"*06256;"4250137262567"; ;TONFANG;The Piss;0;0;0;0;0;0;0
7"*06271;"4250137262710"; ;LONESOME STATION;Lonesome Station (+ CD);0;0;0;0;0;0;0
CD 06255;"4250137262550";LS0009;BINOCULERS;Every Seaman s Got A Favourite Spaceship;0;0;0;0;0;0;0
CD 06264;"4250137262642";LS0024;SCHRADER, MEIKE;Das Grün In Deinen Augen;0;0;0;0;0;0;0
CD 06275;"4250137262758";LS0041;FROGBELLY AND SYMPHONY;Blue Bright Ow Sleep;0;0;0;0;0;0;0
CD 06277;"4250137262772"; ;PHIA;The Ocean Of Everything;-2;1;-1;-10,33;5,62;-4,71;0,97
CD*06251;"4250137262512";LS0011;KID DECKER ;Reveries EP;0;0;0;0;0;0;0
CD*06252;"4250137262529";LS0013;VARIOUS ARTISTS;Melodica Compilation #1 ;0;0;0;0;0;0;0
CD*06253;"4250137262536";LS0015;DEAR JOHN LETTER ;Part And Fragment;0;0;0;0;0;0;0
CD*06254;"4250137262543";LS0018;KID DECKER ;Your Kind;0;0;0;0;0;0;0
CD*06257;"4250137262574"; ;STOCK, TORBEN;Rocket;0;0;0;0;0;0;0
CD*06258;"4250137262581";LS0021;OVERDRIVE AMP EXPLOSION ;Blanks;0;0;0;0;0;0;0
CD*06260;"4250137262604";LS0022;STARS FOR THE BANNED ;Stars For The Banned;0;0;0;0;0;0;0
CD*06261;"4250137262611";LS0023;OWLS OF THE SWAMP  ;Go With River;1;0;1;4,49;0;4,49;0
CD*06263;"4250137262635"; ;VARIOUS ARTISTS;Melodica Compilation #2;0;0;0;0;0;0;0
CD*06265;"4250137262659";LS0027;WILCKENS, NIKOLAI;Stories The Sea Told Me At Night;0;0;0;0;0;0;0
CD*06266;"4250137262666";LS0030;OUTROADS;I Am Happy;0;0;0;0;0;0;0
CD*06267;"4250137262673";LS0029;HANLEY, LIZ;The Ecstasy Of St, Cécilia;0;0;0;0;0;0;0
CD*06270;"4250137262703";LS0036;ALLEN, STEVE;Wreck the Place;0;0;0;0;0;0;0
CD*06272;"4250137262727";LS0038CD;OWLS OF THE SWAMP;Atlas;0;0;0;0;0;0;0
CD*13901;"4024572340476";LS0001CD;ASTRID S FARM ;Cyclist;0;0;0;0;0;0;0
CD*13903;"4024572340483";LS0002CD;XRFARFLIGHT ;The Early Bird;0;0;0;0;0;0;0
CD*13906;"4024572352899";LS0004CD;EMMY MOLL;All The Monsters;0;0;0;0;0;0;0
CD*13908;"4024572354909";LS0005CD;DEAR JOHN LETTER ;Between Leaves/Forestal;0;0;0;0;0;0;0
CD*13910;"4024572354985";LS0006CD;FRAU KRAUSHAAR ;Le Salon Is Very Morbidä;0;0;0;0;0;0;0
CD*13912;"4024572361839";LS0007CD;VARIOUS ARTISTS;Introducing Labelship ;0;0;0;0;0;0;0
LP 06276;"4250137262765"; ;FROGBELLY AND SYMPHONY;Blue Bright Ow Sleep (Lim,Ed);0;0;0;0;0;0;0
LP*05257;"4250137252575";LSLP0009;BINOCULERS;Every Seaman s Got A Favourite Spaceship;0;0;0;0;0;0;0
LP*06259;"4250137262598";LS0020;OVERDRIVE AMP EXPLOSION/EASY TIGER ;Overdrive Amp Explosion/Easy Tiger (Split-LP);0;0;0;0;0;0;0
LP*06268;"4250137262680";LS0032;FROGBELLY AND SYMPHONY;The Eye EP (+CD);0;0;0;0;0;0;0
LP*06273;"4250137262734";LS0038LP;OWLS OF THE SWAMP;Atlas (Lim,Ed,);0;1;1;0;7,23;7,23;0
LP*06274;"4250137262741";LS0039;BISI, MARTIN ;Ex-Nihilo ;0;0;0;0;0;0;0
LP*13902;"4024572341176";LS0001LP;ASTRID S FARM ;Cyclist;0;0;0;0;0;0;0
LP*13904;"4024572341183";LS0002LP;XRFARFLIGHT ;The Early Bird;0;0;0;0;0;0;0
LP*13907;"4024572354916";LS0004LP;EMMY MOLL;All The Monsters;0;0;0;0;0;0;0
LP*13909;"4024572354893";LS0005LP;DEAR JOHN LETTER ;Between Leaves/Forestal;0;0;0;0;0;0;0
LP*13911;"4024572354978";LS0006LP;FRAU KRAUSHAAR ;Le Salon Is Very Morbidä;0;0;0;0;0;0;0


statement downloads reference no: 923271, date: 31.12.2016, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06256;TONFANG;The Piss;Middleman;Spotify;2 / 0,005 / 0,004;0,01
7" 06256;TONFANG;The Piss;Jess;Spotify;1 / 0,005 / 0,004;0,00
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;Spotify;1 / 0,006 / 0,004;0,00
CD 06251;KID DECKER ;Reveries EP;Dead Man s Walk (Homekid Version);Deezer;1 / 0,002 / 0,002;0,00
CD 06251;KID DECKER ;Reveries EP;Memories And Plans;Deezer;1 / 0,002 / 0,002;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Apple Music;2 / 0,005 / 0,004;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;TIDAL;1 / 0,014 / 0,011;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Deezer;1 / 0,001 / 0,001;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;8tracks;3 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;TIDAL;1 / 0,014 / 0,011;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;TIDAL;1 / 0,014 / 0,011;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;TIDAL;3 / 0,014 / 0,011;0,03
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Apple Music;26 / 0,007 / 0,005;0,14
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Apple Music;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Play Scan;1 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;TIDAL;2 / 0,015 / 0,012;0,02
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Apple Music;2 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Apple Music;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Google Subscription;1 / 0,003 / 0,002;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;Apple Music;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;Apple Music;2 / 0,006 / 0,005;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Apple Music;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;Apple Music;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Google Subscription;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;When Will It Be;Apple Music;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Subscription;5 / 0,005 / 0,004;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Spotify;3 / 0,006 / 0,005;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Of Grandeur;Spotify;2 / 0,006 / 0,005;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Rhapsody/Napster;2 / 0,008 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Deezer;2 / 0,003 / 0,002;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Can t Hear Yourself Think;Spotify;1 / 0,006 / 0,005;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Spotify;1 / 0,006 / 0,005;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Silent Sirens;Spotify;2 / 0,006 / 0,005;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;That s The Way The Cookie Crumbles;Spotify;1 / 0,006 / 0,005;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Spotify;3 / 0,006 / 0,005;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Deezer;1 / 0,006 / 0,005;0,00
CD 06254;KID DECKER ;Your Kind;Here We Are;Apple Music;1 / 0,007 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Look About Ready;Apple Music;3 / 0,007 / 0,006;0,02
CD 06254;KID DECKER ;Your Kind;Reveries;Rhapsody/Napster;1 / 0,008 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Disposable;Apple Music;1 / 0,003 / 0,002;0,00
CD 06254;KID DECKER ;Your Kind;Here We Are;Google Subscription;21 / 0,007 / 0,006;0,12
CD 06254;KID DECKER ;Your Kind;Reveries;Deezer;1 / 0,002 / 0,002;0,00
CD 06254;KID DECKER ;Your Kind;The Munchkins;Apple Music;1 / 0,007 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;Apple Music;2 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;Google Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Apple Music;1 / 0,007 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Google Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;Apple Music;1 / 0,007 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;Google Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Apple Music;2 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Google Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;Apple Music;2 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;Google Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Apple Music;2 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Google Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Paintbox;Apple Music;1 / 0,007 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Paintbox;Google Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Apple Music;2 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Google Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Apple Music;2 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Google Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Apple Music;1 / 0,007 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Google Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;Apple Music;2 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;Google Subscription;2 / 0,005 / 0,004;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;Apple Music;2 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;Google Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;Google Play Scan;5 / 0,000 / 0,000;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;Rhapsody/Napster;4 / 0,008 / 0,006;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Google Play Scan;5 / 0,000 / 0,000;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Rhapsody/Napster;4 / 0,008 / 0,006;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;Google Play Scan;5 / 0,000 / 0,000;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;Rhapsody/Napster;3 / 0,008 / 0,006;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Google Play Scan;5 / 0,000 / 0,000;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Rhapsody/Napster;5 / 0,008 / 0,006;0,03
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;Google Play Scan;5 / 0,000 / 0,000;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;Rhapsody/Napster;4 / 0,008 / 0,006;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Google Play Scan;5 / 0,000 / 0,000;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Rhapsody/Napster;3 / 0,008 / 0,006;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Paintbox;Google Play Scan;5 / 0,000 / 0,000;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Paintbox;Rhapsody/Napster;3 / 0,008 / 0,006;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Google Play Scan;5 / 0,000 / 0,000;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Rhapsody/Napster;4 / 0,008 / 0,006;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Google Play Scan;5 / 0,000 / 0,000;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Rhapsody/Napster;4 / 0,008 / 0,006;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Google Play Scan;5 / 0,000 / 0,000;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Rhapsody/Napster;4 / 0,008 / 0,006;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;Google Play Scan;5 / 0,000 / 0,000;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;Rhapsody/Napster;3 / 0,008 / 0,006;0,02
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;Google Play Scan;5 / 0,000 / 0,000;0,00
