statement national reference no: 923486, date: 31.01.2017, salesperiode: 01.01.2017-31.01.2017

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;55 / 55;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06275;FrogbellyAndSymphony/BlueBright...;78 / 79;0 / 0;0 / 0,000 / 0,000;0,00;0;1 / 8,811 / 5,992;-5,99;0;-5,99
CD 06277;Phia/TheOceanOfEverything;98 / 101;0 / 0;0 / 0,000 / 0,000;0,00;0;3 / 8,410 / 5,719;-17,16;0;-17,16
CD 06278;CinemaCinema/ManBitesDog;0 / 0;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06252;V.A./MelodicaCompilation1;18 / 18;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06254;KidDecker/YourKind;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06255;Binoculers/EverySeaman s...;20 / 22;0 / 0;0 / 0,000 / 0,000;0,00;-2;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06261;OwlsOfTheSwamp/GoWithRiver;13 / 13;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06263;V.A./MelodicaCompilation2;8 / 8;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;5 / 6;1 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06267;LizHanley/TheEcstasy...;3 / 4;1 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06270;St.Allen/WreckThe...;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06272;OwlsOfTheSwamp/Atlas;93 / 93;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13906;EmmyMoll/AllTheMonsters;3 / 2;0 / 0;1 / 3,296 / 2,241;2,24;0;0 / 0,000 / 0,000;-0,00;0;2,24
CD*13908;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06276;FrogbellyAndSymphony/BlueBright...;48 / 49;0 / 0;0 / 0,000 / 0,000;0,00;0;1 / 12,172 / 8,277;-8,28;0;-8,28
LP 06279;CinemaCinema/ManBitesDog;0 / 0;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*05257;Binoculers/EverySeaman s...;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06268;Frogbelly.../TheEye;26 / 26;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);24 / 24;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06274;M.Bisi/Ex-Nihilo;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 19%;v.a.t. / tax 7%;total value to be paid
1;2,24;5;-31,43;-29,18;-1,39;0;-0,67;3,71;0,00;0,00;0,00;-27,53 EUR



statement international reference no: 923486, date: 31.01.2017, salesperiode: 01.01.2017-31.01.2017


article no.;artist / title;export sales/prices;amount export;returns export qty/dealer/net(aver.);amount returns exp.;f.o.c. exp.;total amount
CD*06255;Binoculers/EverySeaman s...;0 / 0,000 / 0,000;0,00;2 / 7,081 / 5,402;-10,80;0;-10,80

total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 19%;v.a.t. / tax 7%;total value to be paid
0;0,00;2;-10,80;-0,42;0;-10,80;0,00;0,00;-11,23 EUR



summary physical sales

article no.;barcode;label no.;artist;title;net sales domestic;net sales export;net sales total;net amount domestic;net amount export;net amount total;handling fee returns
7"*06256;"4250137262567"; ;TONFANG;The Piss;0;0;0;0;0;0;0
7"*06271;"4250137262710"; ;LONESOME STATION;Lonesome Station (+ CD);0;0;0;0;0;0;0
CD 06264;"4250137262642";LS0024;SCHRADER, MEIKE;Das Grün In Deinen Augen;0;0;0;0;0;0;0
CD 06275;"4250137262758";LS0041;FROGBELLY AND SYMPHONY;Blue Bright Ow Sleep;-1;0;-1;-5,99;0;-5,99;0,26
CD 06277;"4250137262772"; ;PHIA;The Ocean Of Everything;-3;0;-3;-17,16;0;-17,16;0,76
CD 06278;"4250137262789"; ;CINEMA CINEMA ;Man Bites Dog;0;0;0;0;0;0;0
CD*06251;"4250137262512";LS0011;KID DECKER ;Reveries EP;0;0;0;0;0;0;0
CD*06252;"4250137262529";LS0013;VARIOUS ARTISTS;Melodica Compilation #1 ;0;0;0;0;0;0;0
CD*06253;"4250137262536";LS0015;DEAR JOHN LETTER ;Part And Fragment;0;0;0;0;0;0;0
CD*06254;"4250137262543";LS0018;KID DECKER ;Your Kind;0;0;0;0;0;0;0
CD*06255;"4250137262550";LS0009;BINOCULERS;Every Seaman s Got A Favourite Spaceship;0;-2;-2;0;-10,8;-10,8;0,42
CD*06257;"4250137262574"; ;STOCK, TORBEN;Rocket;0;0;0;0;0;0;0
CD*06258;"4250137262581";LS0021;OVERDRIVE AMP EXPLOSION ;Blanks;0;0;0;0;0;0;0
CD*06260;"4250137262604";LS0022;STARS FOR THE BANNED ;Stars For The Banned;0;0;0;0;0;0;0
CD*06261;"4250137262611";LS0023;OWLS OF THE SWAMP  ;Go With River;0;0;0;0;0;0;0
CD*06263;"4250137262635"; ;VARIOUS ARTISTS;Melodica Compilation #2;0;0;0;0;0;0;0
CD*06265;"4250137262659";LS0027;WILCKENS, NIKOLAI;Stories The Sea Told Me At Night;0;0;0;0;0;0;0
CD*06266;"4250137262666";LS0030;OUTROADS;I Am Happy;0;0;0;0;0;0;0
CD*06267;"4250137262673";LS0029;HANLEY, LIZ;The Ecstasy Of St, Cécilia;0;0;0;0;0;0;0
CD*06270;"4250137262703";LS0036;ALLEN, STEVE;Wreck the Place;0;0;0;0;0;0;0
CD*06272;"4250137262727";LS0038CD;OWLS OF THE SWAMP;Atlas;0;0;0;0;0;0;0
CD*13901;"4024572340476";LS0001CD;ASTRID S FARM ;Cyclist;0;0;0;0;0;0;0
CD*13903;"4024572340483";LS0002CD;XRFARFLIGHT ;The Early Bird;0;0;0;0;0;0;0
CD*13906;"4024572352899";LS0004CD;EMMY MOLL;All The Monsters;1;0;1;2,24;0;2,24;0
CD*13908;"4024572354909";LS0005CD;DEAR JOHN LETTER ;Between Leaves/Forestal;0;0;0;0;0;0;0
CD*13910;"4024572354985";LS0006CD;FRAU KRAUSHAAR ;Le Salon Is Very Morbidä;0;0;0;0;0;0;0
CD*13912;"4024572361839";LS0007CD;VARIOUS ARTISTS;Introducing Labelship ;0;0;0;0;0;0;0
LP 06276;"4250137262765"; ;FROGBELLY AND SYMPHONY;Blue Bright Ow Sleep (Lim,Ed);-1;0;-1;-8,28;0;-8,28;0,37
LP 06279;"4250137262796"; ;CINEMA CINEMA ;Man Bites Dog;0;0;0;0;0;0;0
LP*05257;"4250137252575";LSLP0009;BINOCULERS;Every Seaman s Got A Favourite Spaceship;0;0;0;0;0;0;0
LP*06259;"4250137262598";LS0020;OVERDRIVE AMP EXPLOSION/EASY TIGER ;Overdrive Amp Explosion/Easy Tiger (Split-LP);0;0;0;0;0;0;0
LP*06268;"4250137262680";LS0032;FROGBELLY AND SYMPHONY;The Eye EP (+CD);0;0;0;0;0;0;0
LP*06273;"4250137262734";LS0038LP;OWLS OF THE SWAMP;Atlas (Lim,Ed,);0;0;0;0;0;0;0
LP*06274;"4250137262741";LS0039;BISI, MARTIN ;Ex-Nihilo ;0;0;0;0;0;0;0
LP*13902;"4024572341176";LS0001LP;ASTRID S FARM ;Cyclist;0;0;0;0;0;0;0
LP*13904;"4024572341183";LS0002LP;XRFARFLIGHT ;The Early Bird;0;0;0;0;0;0;0
LP*13907;"4024572354916";LS0004LP;EMMY MOLL;All The Monsters;0;0;0;0;0;0;0
LP*13909;"4024572354893";LS0005LP;DEAR JOHN LETTER ;Between Leaves/Forestal;0;0;0;0;0;0;0
LP*13911;"4024572354978";LS0006LP;FRAU KRAUSHAAR ;Le Salon Is Very Morbidä;0;0;0;0;0;0;0


statement downloads reference no: 923486, date: 31.01.2017, salesperiode: -


article no.;artist;title;track;shop;domestic;total amount
7" 06271;LONESOME STATION;Lonesome Station (+ CD);22h;Spotify;9 / 0,006 / 0,005;0,04
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Man Without a Back;Spotify;5 / 0,006 / 0,005;0,02
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Happy in the Dark;Spotify;5 / 0,006 / 0,005;0,02
7" 06271;LONESOME STATION;Lonesome Station (+ CD);The Flowers Are Gone;Spotify;6 / 0,006 / 0,005;0,03
7" 06271;LONESOME STATION;Lonesome Station (+ CD);A Long Day;Spotify;6 / 0,006 / 0,005;0,03
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Dmand;Spotify;5 / 0,006 / 0,005;0,02
7" 06271;LONESOME STATION;Lonesome Station (+ CD);Just Look;Spotify;11 / 0,006 / 0,005;0,05
7" 06271;LONESOME STATION;Lonesome Station (+ CD);What We ve Said;Spotify;4 / 0,006 / 0,005;0,02
CD 06251;KID DECKER ;Reveries EP;Memories And Plans;Deezer;1 / 0,007 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;TIDAL;1 / 0,004 / 0,003;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;TIDAL;1 / 0,004 / 0,003;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Google Play Subscription;2 / 0,003 / 0,002;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Heart Of The Mountain;8tracks;4 / 0,000 / 0,000;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;Juke Entertain;1 / 0,007 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Season Song;TIDAL;1 / 0,004 / 0,003;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Google Play Subscription;2 / 0,005 / 0,004;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Deezer;1 / 0,007 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;When Will It Be;TIDAL;2 / 0,008 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;TDC Play;11 / 0,008 / 0,006;0,07
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;August;Apple Music;1 / 0,006 / 0,005;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Come My Way;Apple Music;22 / 0,002 / 0,002;0,04
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;Apple Music;1 / 0,007 / 0,006;0,01
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Full Metal Jacket;TIDAL;1 / 0,004 / 0,003;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;How Does It Feel;TIDAL;1 / 0,004 / 0,003;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Morse Codes;TIDAL;1 / 0,004 / 0,003;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;The Question;Apple Music;7 / 0,008 / 0,006;0,04
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;Apple Music;1 / 0,005 / 0,004;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Too Late;TIDAL;1 / 0,004 / 0,003;0,00
CD 06252;VARIOUS ARTISTS;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Play Subscription;10 / 0,005 / 0,004;0,04
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;Spotify;2 / 0,006 / 0,005;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Apple Music;1 / 0,008 / 0,007;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;TDC Play;1 / 0,007 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Amazon cloud;2 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Crux;Spotify;1 / 0,001 / 0,001;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;House Of Leaves;TIDAL;2 / 0,015 / 0,012;0,02
CD 06253;DEAR JOHN LETTER ;Part And Fragment;Kandi;Juke Entertain;1 / 0,007 / 0,006;0,01
CD 06253;DEAR JOHN LETTER ;Part And Fragment;The Looking Glass;Deezer;1 / 0,000 / 0,000;0,00
CD 06253;DEAR JOHN LETTER ;Part And Fragment;You Remain Unshakeably Calm;Deezer;3 / 0,000 / 0,000;0,00
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Deezer;1 / 0,007 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Here We Are;Deezer;1 / 0,007 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Look About Ready;Apple Music;4 / 0,008 / 0,006;0,02
CD 06254;KID DECKER ;Your Kind;Reveries;Deezer;1 / 0,007 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Stone Cold;Deezer;1 / 0,007 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Where It Lies;Deezer;1 / 0,007 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Falling;Deezer;1 / 0,007 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Here We Are;Google Play Subscription;9 / 0,008 / 0,006;0,05
CD 06254;KID DECKER ;Your Kind;Look About Ready;Deezer;1 / 0,007 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Reveries;iTunes;2 / 0,605 / 0,484;0,97
CD 06254;KID DECKER ;Your Kind;The Munchkins;Deezer;1 / 0,007 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Your Kind;Deezer;1 / 0,007 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;Deezer;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Deezer;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;Google Play Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Google Play Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Deezer;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Paintbox;Google Play Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Google Play Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Google Play Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Google Play Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;Google Play Subscription;2 / 0,005 / 0,004;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;Deezer;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Chestnuts;Google Play Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Google Play Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Lions;Deezer;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;Google Play Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Google Play Subscription;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Deezer;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Deezer;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Deezer;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;Deezer;1 / 0,005 / 0,004;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;Apple Music;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;Google Play Subscription;1 / 0,005 / 0,004;0,00
CD 06257;STOCK, TORBEN;Rocket;Angels s Song;Apple Music;1 / 0,008 / 0,007;0,01
CD 06257;STOCK, TORBEN;Rocket;Kiss Me Good Night;Spotify;13 / 0,003 / 0,002;0,03
CD 06257;STOCK, TORBEN;Rocket;Real Lights / Great Souls;Spotify;2 / 0,001 / 0,001;0,00
CD 06257;STOCK, TORBEN;Rocket;Rocket;Spotify;44 / 0,004 / 0,003;0,13
CD 06257;STOCK, TORBEN;Rocket;Sad Movie Song;Spotify;1 / 0,001 / 0,001;0,00
CD 06257;STOCK, TORBEN;Rocket;Truth;Apple Music;1 / 0,008 / 0,007;0,01
CD 06257;STOCK, TORBEN;Rocket;Wolkenstein;Spotify;1 / 0,001 / 0,001;0,00
CD 06257;STOCK, TORBEN;Rocket;Kiss Me Good Night;Apple Music;1 / 0,008 / 0,007;0,01
CD 06257;STOCK, TORBEN;Rocket;Real Lights / Great Souls;Apple Music;1 / 0,008 / 0,007;0,01
CD 06257;STOCK, TORBEN;Rocket;Rocket;Apple Music;1 / 0,008 / 0,007;0,01
CD 06257;STOCK, TORBEN;Rocket;Sad Movie Song;Apple Music;1 / 0,008 / 0,007;0,01
CD 06257;STOCK, TORBEN;Rocket;Tonight;Apple Music;2 / 0,008 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Wolkenstein;Apple Music;1 / 0,008 / 0,007;0,01
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Autumn;Spotify;1 / 0,008 / 0,006;0,01
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Riot;Spotify;1 / 0,008 / 0,006;0,01
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Stzar;Spotify;2 / 0,005 / 0,004;0,01
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Unlink;Spotify;1 / 0,008 / 0,006;0,01
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;At The Corner;Spotify;4 / 0,002 / 0,002;0,01
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Interlude;Spotify;1 / 0,008 / 0,006;0,01
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Siegfried;Spotify;1 / 0,008 / 0,006;0,01
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;U;Spotify;1 / 0,008 / 0,006;0,01
CD 06261;OWLS OF THE SWAMP  ;Go With River;43;Google Play Subscription;1 / 0,005 / 0,004;0,00
CD 06261;OWLS OF THE SWAMP  ;Go With River;By The Riverside;Apple Music;5 / 0,006 / 0,005;0,02
CD 06261;OWLS OF THE SWAMP  ;Go With River;By The Riverside;Google Play Subscription;2 / 0,005 / 0,004;0,01
CD 06261;OWLS OF THE SWAMP  ;Go With River;By The Riverside;Spotify;32 / 0,004 / 0,003;0,11
CD 06261;OWLS OF THE SWAMP  ;Go With River;Go With River;Google Play Subscription;1 / 0,005 / 0,004;0,00
CD 06261;OWLS OF THE SWAMP  ;Go With River;Here Comes The Wind;Apple Music;1 / 0,006 / 0,005;0,00
CD 06261;OWLS OF THE SWAMP  ;Go With River;Here Comes The Wind;Spotify;29 / 0,004 / 0,003;0,09
