statement national reference no: 924136, date: 30.04.2017, salesperiode: 01.04.2017-30.04.2017

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/domestic net(aver.);amount returns domestic;f.o.c dom.;total amount
7"*06256;Tonfang/ThePiss;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
7"*06271;LonesomeStation/s.t.;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06264;MeikeSchrader/DasGrün...;54 / 54;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06275;FrogbellyAndSymphony/BlueBright...;77 / 77;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD 06277;Phia/TheOceanOfEverything;115 / 123;0 / 0;0 / 0,000 / 0,000;0,00;0;8 / 8,189 / 5,568;-44,55;0;-44,55
CD 06278;CinemaCinema/ManBitesDog;193 / 185;0 / 0;8 / 9,040 / 6,147;49,18;0;0 / 0,000 / 0,000;-0,00;0;49,18
CD*06251;KidDecker/Reveries;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06252;V.A./MelodicaCompilation1;18 / 18;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06253;DearJohnLetter/PartAndFragment;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06254;KidDecker/YourKind;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06255;Binoculers/EverySeaman s...;22 / 22;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06257;T.Stock/Rocket;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06258;OverdriveAmpExplosion/Blanks;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06260;StarsForTheBanned/StarsForTheBanned;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06261;OwlsOfTheSwamp/GoWithRiver;13 / 13;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06263;V.A./MelodicaCompilation2;8 / 8;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06265;N.Wilckens/StoriesTheSea...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06266;Outroads/IAmHappy;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06267;LizHanley/TheEcstasy...;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06270;St.Allen/WreckThe...;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*06272;OwlsOfTheSwamp/Atlas;93 / 93;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13901;AstridsFarm/Cyclist;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13903;Xrfarflight/TheEarlyBird;5 / 5;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13906;EmmyMoll/AllTheMonsters;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13908;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13910;FrauKraushaar/LeSalonIsVeryMorbidä;3 / 3;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
CD*13912;V.A./IntroducingLabelship;1 / 1;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06276;FrogbellyAndSymphony/BlueBright...;48 / 48;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP 06279;CinemaCinema/ManBitesDog;0 / 54;60 / 4;2 / 11,987 / 8,151;16,30;0;0 / 0,000 / 0,000;-0,00;0;16,30
LP*05257;Binoculers/EverySeaman s...;6 / 6;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06259;OverdriveAmpExplosion/EasyTiger(Split-EP;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06268;Frogbelly.../TheEye;25 / 25;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06273;OwlsOfTheSwamp/Atlas(Lim.Ed.);20 / 20;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*06274;M.Bisi/Ex-Nihilo;4 / 4;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13902;AstridsFarm/Cyclist;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13904;Xrfarflight/TheEarlyBird;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13907;EmmyMoll/AllTheMonsters;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13909;DearJohnLetter/Between Leaves-Forestal;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00
LP*13911;FrauKraushaar/LeSalonIsVeryMorbidä;2 / 2;0 / 0;0 / 0,000 / 0,000;0,00;0;0 / 0,000 / 0,000;-0,00;0;0,00

total sales domestic;total amount domestic;total returns domestic;ret amount domestic;total value;handling fee returns;f.o.c total;reserve for returns (nat+int);refund of reserve;stock-return shipping;v.a.t. / tax 19%;v.a.t. / tax 7%;total value to be paid
10;65,48;8;-44,55;20,93;-1,97;0;-19,64;19,96;0,00;0,00;0,00;19,29 EUR



statement international reference no: 924136, date: 30.04.2017, salesperiode: 01.04.2017-30.04.2017


total sales export;total amount export;total returns export;total amount returns exp.;handling fee returns;f.o.c. total;total value;v.a.t. / tax 19%;v.a.t. / tax 7%;total value to be paid
0;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00 EUR



summary physical sales

article no.;barcode;label no.;artist;title;net sales domestic;net sales export;net sales total;net amount domestic;net amount export;net amount total;handling fee returns
7"*06256;"4250137262567"; ;TONFANG;The Piss;0;0;0;0;0;0;0
7"*06271;"4250137262710"; ;LONESOME STATION;Lonesome Station (+ CD);0;0;0;0;0;0;0
CD 06264;"4250137262642";LS0024;SCHRADER, MEIKE;Das Grün In Deinen Augen;0;0;0;0;0;0;0
CD 06275;"4250137262758";LS0041;FROGBELLY AND SYMPHONY;Blue Bright Ow Sleep;0;0;0;0;0;0;0
CD 06277;"4250137262772"; ;PHIA;The Ocean Of Everything;-8;0;-8;-44,55;0;-44,55;1,97
CD 06278;"4250137262789"; ;CINEMA CINEMA ;Man Bites Dog;8;0;8;49,18;0;49,18;0
CD*06251;"4250137262512";LS0011;KID DECKER ;Reveries EP;0;0;0;0;0;0;0
CD*06252;"4250137262529";LS0013;VARIOUS ARTISTS;Melodica Compilation #1 ;0;0;0;0;0;0;0
CD*06253;"4250137262536";LS0015;DEAR JOHN LETTER ;Part And Fragment;0;0;0;0;0;0;0
CD*06254;"4250137262543";LS0018;KID DECKER ;Your Kind;0;0;0;0;0;0;0
CD*06255;"4250137262550";LS0009;BINOCULERS;Every Seaman s Got A Favourite Spaceship;0;0;0;0;0;0;0
CD*06257;"4250137262574"; ;STOCK, TORBEN;Rocket;0;0;0;0;0;0;0
CD*06258;"4250137262581";LS0021;OVERDRIVE AMP EXPLOSION ;Blanks;0;0;0;0;0;0;0
CD*06260;"4250137262604";LS0022;STARS FOR THE BANNED ;Stars For The Banned;0;0;0;0;0;0;0
CD*06261;"4250137262611";LS0023;OWLS OF THE SWAMP  ;Go With River;0;0;0;0;0;0;0
CD*06263;"4250137262635"; ;VARIOUS ARTISTS;Melodica Compilation #2;0;0;0;0;0;0;0
CD*06265;"4250137262659";LS0027;WILCKENS, NIKOLAI;Stories The Sea Told Me At Night;0;0;0;0;0;0;0
CD*06266;"4250137262666";LS0030;OUTROADS;I Am Happy;0;0;0;0;0;0;0
CD*06267;"4250137262673";LS0029;HANLEY, LIZ;The Ecstasy Of St, Cécilia;0;0;0;0;0;0;0
CD*06270;"4250137262703";LS0036;ALLEN, STEVE;Wreck the Place;0;0;0;0;0;0;0
CD*06272;"4250137262727";LS0038CD;OWLS OF THE SWAMP;Atlas;0;0;0;0;0;0;0
CD*13901;"4024572340476";LS0001CD;ASTRID S FARM ;Cyclist;0;0;0;0;0;0;0
CD*13903;"4024572340483";LS0002CD;XRFARFLIGHT ;The Early Bird;0;0;0;0;0;0;0
CD*13906;"4024572352899";LS0004CD;EMMY MOLL;All The Monsters;0;0;0;0;0;0;0
CD*13908;"4024572354909";LS0005CD;DEAR JOHN LETTER ;Between Leaves/Forestal;0;0;0;0;0;0;0
CD*13910;"4024572354985";LS0006CD;FRAU KRAUSHAAR ;Le Salon Is Very Morbidä;0;0;0;0;0;0;0
CD*13912;"4024572361839";LS0007CD;VARIOUS ARTISTS;Introducing Labelship ;0;0;0;0;0;0;0
LP 06276;"4250137262765"; ;FROGBELLY AND SYMPHONY;Blue Bright Ow Sleep (Lim,Ed);0;0;0;0;0;0;0
LP 06279;"4250137262796"; ;CINEMA CINEMA ;Man Bites Dog;2;0;2;16,3;0;16,3;0
LP*05257;"4250137252575";LSLP0009;BINOCULERS;Every Seaman s Got A Favourite Spaceship;0;0;0;0;0;0;0
LP*06259;"4250137262598";LS0020;OVERDRIVE AMP EXPLOSION/EASY TIGER ;Overdrive Amp Explosion/Easy Tiger (Split-LP);0;0;0;0;0;0;0
LP*06268;"4250137262680";LS0032;FROGBELLY AND SYMPHONY;The Eye EP (+CD);0;0;0;0;0;0;0
LP*06273;"4250137262734";LS0038LP;OWLS OF THE SWAMP;Atlas (Lim,Ed,);0;0;0;0;0;0;0
LP*06274;"4250137262741";LS0039;BISI, MARTIN ;Ex-Nihilo ;0;0;0;0;0;0;0
LP*13902;"4024572341176";LS0001LP;ASTRID S FARM ;Cyclist;0;0;0;0;0;0;0
LP*13904;"4024572341183";LS0002LP;XRFARFLIGHT ;The Early Bird;0;0;0;0;0;0;0
LP*13907;"4024572354916";LS0004LP;EMMY MOLL;All The Monsters;0;0;0;0;0;0;0
LP*13909;"4024572354893";LS0005LP;DEAR JOHN LETTER ;Between Leaves/Forestal;0;0;0;0;0;0;0
LP*13911;"4024572354978";LS0006LP;FRAU KRAUSHAAR ;Le Salon Is Very Morbidä;0;0;0;0;0;0;0


statement digital reference no: 924136, date: 30.04.2017, salesperiode: -


article no.;artist;title;track;shop;qty;dealer (average);net (average);total amount
7" 06256;Tonfang;The Piss;Jess;Spotify;2;0,004;0,003;0,01
7" 06256;Tonfang;The Piss;Dieff;Apple Music;1;0,006;0,005;0,00
7" 06256;Tonfang;The Piss;Middleman;Apple Music;1;0,006;0,005;0,00
7" 06271;Lonesome Station;Lonesome Station (+ CD);22h;Spotify;2;0,006;0,005;0,01
7" 06271;Lonesome Station;Lonesome Station (+ CD);A Man Without a Back;Spotify;6;0,004;0,003;0,02
7" 06271;Lonesome Station;Lonesome Station (+ CD);Happy in the Dark;Spotify;3;0,006;0,005;0,01
7" 06271;Lonesome Station;Lonesome Station (+ CD);The Flowers Are Gone;Spotify;3;0,006;0,005;0,01
7" 06271;Lonesome Station;Lonesome Station (+ CD);A Long Day;Spotify;24;0,005;0,004;0,09
7" 06271;Lonesome Station;Lonesome Station (+ CD);Dmand;Spotify;1;0,006;0,005;0,00
7" 06271;Lonesome Station;Lonesome Station (+ CD);Just Look;Spotify;3;0,006;0,005;0,01
7" 06271;Lonesome Station;Lonesome Station (+ CD);What We ve Said;Spotify;2;0,006;0,005;0,01
CD 05039;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Google Subscription;3;0,005;0,004;0,01
CD 05039;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;YouTube;10;0,000;0,000;0,00
CD 05039;Owls of the Swamp;Meteorite EP;I Found You;Spotify;45;0,004;0,003;0,15
CD 05039;Owls of the Swamp;Meteorite EP;Meteorite;Google Subscription;3;0,005;0,004;0,01
CD 05039;Owls of the Swamp;Meteorite EP;Skipping Stones;Google Subscription;3;0,005;0,004;0,01
CD 05039;Owls of the Swamp;Meteorite EP;Skipping Stones;YouTube;12;0,000;0,000;0,00
CD 05039;Owls of the Swamp;Meteorite EP;Start All Over;Google Subscription;3;0,005;0,004;0,01
CD 05039;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;212;0,004;0,003;0,66
CD 05039;Owls of the Swamp;Meteorite EP;I Found You;Google Subscription;1;0,002;0,002;0,00
CD 05039;Owls of the Swamp;Meteorite EP;I Found You;YouTube;36;0,000;0,000;0,00
CD 05039;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;69;0,003;0,003;0,18
CD 05039;Owls of the Swamp;Meteorite EP;Skipping Stones;Spotify;77;0,003;0,003;0,21
CD 05039;Owls of the Swamp;Meteorite EP;Start All Over;Apple Music;1;0,008;0,007;0,01
CD 05039;Owls of the Swamp;Meteorite EP;Start All Over;Spotify;55;0,005;0,004;0,20
CD 06251;Kid Decker;Reveries EP;Reveries;Rhapsody/Napster;1;0,008;0,006;0,01
CD 06252;Shisha PM;Melodica Compilation #1 ;Ups And Downs;Apple Music;2;0,001;0,001;0,00
CD 06252;Svavar Knutur;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;TDC Play;2;0,007;0,006;0,01
CD 06252;Torben Stock;Melodica Compilation #1 ;When Will It Be;Apple Music;1;0,006;0,005;0,01
CD 06252;Various Artists;Melodica Compilation #1 ;The Question;Google Subscription;2;0,005;0,004;0,01
CD 06252;Ian Hooper;Melodica Compilation #1 ;Come My Way;Apple Music;2;0,005;0,004;0,01
CD 06252;Ivar;Melodica Compilation #1 ;August;Apple Music;1;0,002;0,001;0,00
CD 06252;Kid Decker;Melodica Compilation #1 ;Too Late;TIDAL;1;0,004;0,003;0,00
CD 06252;Myrra Ros;Melodica Compilation #1 ;Morse Codes;TIDAL;1;0,010;0,008;0,01
CD 06252;Svavar Knutur;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Subscription;6;0,005;0,004;0,02
CD 06252;Svavar Knutur;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;TIDAL;3;0,012;0,010;0,03
CD 06252;Various Artists;Melodica Compilation #1 ;The Question;Apple Music;10;0,008;0,006;0,06
CD 06252;Athebustop;Melodica Compilation #1 ;How Does It Feel;TIDAL;1;0,010;0,008;0,01
CD 06252;Ian Hooper;Melodica Compilation #1 ;Come My Way;TIDAL;1;0,010;0,008;0,01
CD 06252;Ivar;Melodica Compilation #1 ;August;TIDAL;1;0,010;0,008;0,01
CD 06252;Myrra Ros;Melodica Compilation #1 ;Morse Codes;Apple Music;1;0,005;0,004;0,00
CD 06252;Owls Of The Swamp;Melodica Compilation #1 ;Heart Of The Mountain;TIDAL;1;0,010;0,008;0,01
CD 06253;Dear John Letter;Part And Fragment;That s The Way The Cookie Crumbles;Apple Music;1;0,011;0,009;0,01
CD 06253;Dear John Letter;Part And Fragment;You Can t Hear Yourself Think;Apple Music;1;0,011;0,009;0,01
CD 06253;Dear John Letter;Part And Fragment;Kandi;Apple Music;1;0,011;0,009;0,01
CD 06253;Dear John Letter;Part And Fragment;The Looking Glass;Apple Music;1;0,011;0,009;0,01
CD 06254;Kid Decker;Your Kind;Reveries;iTunes;1;0,600;0,480;0,48
CD 06254;Kid Decker;Your Kind;Here We Are;Google Subscription;3;0,007;0,006;0,02
CD 06254;Kid Decker;Your Kind;Stone Cold;Apple Music;1;0,008;0,007;0,01
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Chestnuts;Apple Music;3;0,008;0,007;0,02
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Apple Music;1;0,008;0,007;0,01
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;Google Play Scan;1;0,000;0,000;0,00
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Lions;Google Play Scan;2;0,000;0,000;0,00
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;On The Sun;Google Play Scan;1;0,000;0,000;0,00
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Apple Music;1;0,008;0,007;0,01
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Apple Music;3;0,008;0,007;0,02
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Snakes;Apple Music;2;0,008;0,007;0,01
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Stones;Apple Music;2;0,008;0,007;0,01
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Chestnuts;Google Play Scan;1;0,000;0,000;0,00
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Google Play Scan;1;0,000;0,000;0,00
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Lions;Apple Music;4;0,008;0,007;0,03
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;On The Sun;Apple Music;3;0,008;0,007;0,02
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Paintbox;Google Play Scan;1;0,000;0,000;0,00
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Google Play Scan;1;0,000;0,000;0,00
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Google Play Scan;1;0,000;0,000;0,00
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Snakes;Google Play Scan;1;0,000;0,000;0,00
CD 06255;Binoculers;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;Apple Music;1;0,008;0,007;0,01
CD 06257;Torben Stock;Rocket;Angels s Song;iTunes;1;0,600;0,480;0,48
CD 06257;Torben Stock;Rocket;Cold Breeze;iTunes;1;0,600;0,480;0,48
CD 06257;Torben Stock;Rocket;Conamara Instr,;iTunes;1;0,600;0,480;0,48
CD 06257;Torben Stock;Rocket;Conamara Instr,;Spotify;1;0,003;0,002;0,00
CD 06257;Torben Stock;Rocket;Kiss Me Good Night;Spotify;17;0,004;0,003;0,06
CD 06257;Torben Stock;Rocket;Real Lights / Great Souls;Spotify;2;0,004;0,003;0,01
CD 06257;Torben Stock;Rocket;Rocket;Spotify;9;0,002;0,002;0,02
CD 06257;Torben Stock;Rocket;Sad Movie Song;Spotify;4;0,004;0,004;0,01
CD 06257;Torben Stock;Rocket;Tonight;iTunes;1;0,600;0,480;0,48
CD 06257;Torben Stock;Rocket;Truth;iTunes;1;0,600;0,480;0,48
CD 06257;Torben Stock;Rocket;Wolkenstein;iTunes;1;0,600;0,480;0,48
CD 06257;Torben Stock;Rocket;Angels s Song;Spotify;1;0,003;0,002;0,00
CD 06257;Torben Stock;Rocket;Cold Breeze;Spotify;6;0,004;0,003;0,02
CD 06257;Torben Stock;Rocket;Conamara Instr,;Rhapsody/Napster;1;0,008;0,006;0,01
CD 06257;Torben Stock;Rocket;Kiss Me Good Night;iTunes;1;0,600;0,480;0,48
CD 06257;Torben Stock;Rocket;Real Lights / Great Souls;iTunes;1;0,600;0,480;0,48
CD 06257;Torben Stock;Rocket;Rocket;iTunes;1;0,600;0,480;0,48
CD 06257;Torben Stock;Rocket;Sad Movie Song;iTunes;1;0,600;0,480;0,48
CD 06257;Torben Stock;Rocket;Sad Movie Song;YouTube;2;0,001;0,001;0,00
CD 06257;Torben Stock;Rocket;Tonight;Spotify;2;0,004;0,003;0,01
CD 06257;Torben Stock;Rocket;Truth;Spotify;7;0,005;0,004;0,03
CD 06257;Torben Stock;Rocket;Wolkenstein;Spotify;2;0,004;0,003;0,01
CD 06258;Overdrive Amp Explosion;Blanks;At The Corner;Apple Music;2;0,003;0,002;0,00
CD 06258;Overdrive Amp Explosion;Blanks;Autumn;Apple Music;1;0,003;0,002;0,00
CD 06258;Overdrive Amp Explosion;Blanks;Lowlight;Apple Music;1;0,003;0,002;0,00
CD 06258;Overdrive Amp Explosion;Blanks;Lowlight;Spotify;2;0,007;0,006;0,01
CD 06258;Overdrive Amp Explosion;Blanks;Siegfried;Apple Music;1;0,003;0,002;0,00
CD 06258;Overdrive Amp Explosion;Blanks;Stzar;Spotify;1;0,001;0,001;0,00
CD 06258;Overdrive Amp Explosion;Blanks;U;Apple Music;2;0,003;0,002;0,00
CD 06258;Overdrive Amp Explosion;Blanks;Unlink;Spotify;1;0,006;0,005;0,00
CD 06258;Overdrive Amp Explosion;Blanks;At The Corner;Spotify;1;0,000;0,000;0,00
CD 06258;Overdrive Amp Explosion;Blanks;Interlude;Apple Music;2;0,003;0,002;0,00
CD 06258;Overdrive Amp Explosion;Blanks;Lowlight;Google Play Scan;1;0,000;0,000;0,00
CD 06258;Overdrive Amp Explosion;Blanks;Riot;Apple Music;1;0,003;0,002;0,00
CD 06258;Overdrive Amp Explosion;Blanks;Stzar;Apple Music;2;0,003;0,002;0,00
CD 06258;Overdrive Amp Explosion;Blanks;Stzar;YouTube;1;0,000;0,000;0,00
CD 06258;Overdrive Amp Explosion;Blanks;Unlink;Apple Music;2;0,003;0,002;0,00
CD 06261;Owls Of The Swamp;Go With River;43;Spotify;26;0,004;0,003;0,08
CD 06261;Owls Of The Swamp;Go With River;By The Riverside;Spotify;30;0,005;0,004;0,11
CD 06261;Owls Of The Swamp;Go With River;Here Comes The Wind;Apple Music;1;0,006;0,005;0,00
CD 06261;Owls Of The Swamp;Go With River;Long May You Run;Google Subscription;1;0,005;0,004;0,00
CD 06261;Owls Of The Swamp;Go With River;Long May You Run;TIDAL;1;0,009;0,007;0,01
CD 06261;Owls Of The Swamp;Go With River;Praying Mantis;YouTube;1;0,030;0,024;0,02
CD 06261;Owls Of The Swamp;Go With River;Pyramid;Spotify;96;0,004;0,003;0,28
CD 06261;Owls Of The Swamp;Go With River;Skywaters;Apple Music;1;0,005;0,004;0,00
CD 06261;Owls Of The Swamp;Go With River;So Far Away;Apple Music;11;0,008;0,006;0,07
CD 06261;Owls Of The Swamp;Go With River;So Far Away;YouTube;4;0,000;0,000;0,00
