DATE,RELEASE_ID,CDS,LPS,AMOUNT,TRANSACTION,CHANNEL,DESCRIPTION
2016.1.22,LS00001,1,0,2.64172,sale,Labelship direct sale,"various, UK"
2016.1.22,LS00011,1,0,2.64172,sale,Labelship direct sale,"various, UK"
2016.1.22,LS00033,1,0,2.64172,sale,Labelship direct sale,"various, UK"
2016.1.22,LS00006,1,0,2.64172,sale,Labelship direct sale,"various, UK"
2016.1.22,LS00018,1,0,2.64172,sale,Labelship direct sale,"various, UK"
2016.1.22,LS00037,1,0,2.64172,sale,Labelship direct sale,"various, UK"
2016.1.22,LS00030,1,0,2.64172,sale,Labelship direct sale,"various, UK"
2016.1.22,LS00038,1,0,2.64172,sale,Labelship direct sale,"various, UK"
2016.1.22,LS00002,1,0,2.64172,sale,Labelship direct sale,"various, UK"
2016.1.22,LS00015,1,0,2.64172,sale,Labelship direct sale,"various, UK"
2016.1.22,LS00029,1,0,2.64172,sale,Labelship direct sale,"various, UK"
2016.1.22,LS00005,1,0,2.64172,sale,Labelship direct sale,"various, UK"
2016.3.21,LS00038,3,0,7.67292,sale,Labelship direct sale,"various, UK"
2016.3.21,LS00006,2,0,5.11528,sale,Labelship direct sale,"various, UK"
2016.3.21,LS00015,1,0,2.55764,sale,Labelship direct sale,"various, UK"
2016.3.21,LS00005,1,0,2.55764,sale,Labelship direct sale,"various, UK"
2016.3.21,LS00037,1,0,2.55764,sale,Labelship direct sale,"various, UK"
2016.3.21,LS00005,0,1,6.3941,sale,Labelship direct sale,"various, UK"
2016.3.21,LS00038,0,1,6.3941,sale,Labelship direct sale,"various, UK"
2016.3.21,LS00030,2,0,5.11528,sale,Labelship direct sale,"various, UK"
2016.3.21,LS00018,2,0,5.11528,sale,Labelship direct sale,"various, UK"
2016.4.15,LS00041,0,1,0,sale,Labelship direct sale,show sale Cincinnati
2016.4.16,LS00041,2,0,0,sale,Labelship direct sale,show sale Chicago
2016.4.16,LS00043,1,0,0,sale,Labelship direct sale,show sale Chicago
2016.4.21,LS00041,0,1,0,sale,Labelship direct sale,show sale Hunter Mtn
2016.4.22,LS00043,2,0,0,sale,Labelship direct sale,show sale Pittsburgh
2016.4.23,LS00041,4,2,0,sale,Labelship direct sale,show sale Louisville
2016.4.23,LS00043,1,0,0,sale,Labelship direct sale,show sale Louisville
2016.4.23,LS00032,1,0,0,sale,Labelship direct sale,show sale Louisville
2016.4.23,LS00029,1,0,0,sale,Labelship direct sale,show sale Louisville
2016.4.24,LS00041,2,2,0,sale,Labelship direct sale,show sale Chicago
2016.4.24,LS00043,2,0,0,sale,Labelship direct sale,show sale Chicago
2016.4.25,LS00041,1,0,0,sale,Labelship direct sale,show sale La Fayette
2016.4.25,LS00032,0,1,0,sale,Labelship direct sale,show sale La Fayette
2016.4.25,LS00029,1,0,0,sale,Labelship direct sale,show sale La Fayette
2016.4.26,LS00041,4,1,0,sale,Labelship direct sale,show sale Evansville
2016.4.27,LS00041,1,2,0,sale,Labelship direct sale,show sale Nashville
2016.4.28,LS00041,3,1,0,sale,Labelship direct sale,show sale Knoxville
2016.4.29,LS00041,1,0,0,sale,Labelship direct sale,show sale Abingdon
