DATE,RELEASE_ID,CDS,LPS,AMOUNT,TRANSACTION,CHANNEL,DESCRIPTION
2016.02.09,LS00041,0,0,-434.41,payment,Labelship,payoff HHLLC
2016.02.09,LS00032,0,0,-47.41,payment,Labelship,payoff HHLLC
2016.06.02,LS00046,0,0,-762.17,expense,Labelship,publicist fee Green Ligt Go USA
2016.06.24,LS00045,0,0,-1736.32,expense,Labelship,CD manufacturing 1500pcs
2016.07.19,LS00045,0,0,-220,expense,Labelship,MPN Network
2016.06.28,LS00045,0,0,1736.32,expense,Labelship,CD manufacturing 1500pcs
2016.07.18,LS00045,0,0,220,expense,Labelship,MPN Network
2016.07.06,LS00009,0,0,-101.85,payment,Labelship,"pay off artist, INV 23/16 "
2016.07.06,LS00009,0,0,-101.85,payment,Labelship,pay off labelship
2016.08.10,LS00046,0,0,-89.4,expense,Labelship,publicist fee Green Ligt Go USA
2016.08.10,LS00045,0,0,-349.18,expense,Labelship,publicist fee Polymath PR
2016.09.20,LS00046,0,0,-288.74,expense,Labelship,CD manufacturing 200pcs
2016.09.21,LS00046,0,0,288.8,payment,Labelship,paid by artist
2016.10.18,LS00046,0,0,-5.32,expense,Labelship,shipment GLG USA
2016.09.28,LS00046,0,0,-17.35,expense,Labelship,shipment Iceland
2016.11.02,LS00041,0,0,-1019.41,expense,Labelship,re-press CD albums
2016.12.31,LS00018,0,0,-34.17,transfer,Labelship,settlement of LS0011 and LS0018
2016.12.31,LS00011,0,0,34.17,transfer,Labelship,settlement of LS0011 and LS0018
2016.12.31,LS00032,0,0,-33.3,transfer,Labelship,settlement of LS0032 and LS0041
2016.12.31,LS00041,0,0,33.3,transfer,Labelship,settlement of LS0032 and LS0041
2016.12.31,LS00043,0,0,-14.21,transfer,Labelship,settlement of LS0041 and LS0043
2016.12.31,LS00041,0,0,14.21,transfer,Labelship,settlement of LS0041 and LS0043
2016.12.31,LS00046,0,0,359.89,transfer,Labelship,settlement of LS0023 and LS0046
2016.12.31,LS00023,0,0,-359.89,transfer,Labelship,settlement of LS0023 and LS0046
2016.12.31,LS00046,0,0,511.28,transfer,Labelship,settlement of LS0038 and LS0046
2016.12.31,LS00038,0,0,-511.28,transfer,Labelship,settlement of LS0038 and LS0046
2016.12.31,LS00037,0,0,-122.11,transfer,Labelship,settlement of LS0037 and LS0039
2016.12.31,LS00039,0,0,122.11,transfer,Labelship,settlement of LS0037 and LS0039
