DATE,RELEASE_ID,CDS,LPS,AMOUNT,TRANSACTION,CHANNEL,DESCRIPTION,Product
2019.01.06,LS00056,,,450,expense reimbursed,Max,PR Fee Maren Kumpe 2nd half,Rad Orchestra
2019.01.06,LS00056,,,-450,expense,Labelship D,PR Fee Maren Kumpe 2nd half,Rad Orchestra
2019.02.02,LS00056,,,228.51,expense reimbursed,Max,PR fee share Tom Brumpton,Rad Orchestra
2019.02.11,LS00049,,,-8.92,expense,PayPal,pay-off artist,Joey Molinaro / Awash
2019.02.11,LS00043,,,-12.63,expense,PayPal,pay-off artist,Frogbelly And Symphony / 9-Volt Haunted House
2019.02.11,LS00043,,,-12.63,expense,Labelship,pay-off Labelship,Frogbelly And Symphony / 9-Volt Haunted House
2019.02.09,LS00041,,,-430,expense,Peter Schmidt,studio flat Feb 2019,Frogbelly And Symphony / Blue Bright Ow Sleep
2019.07.08,LS00009,,,-21.57,expense,Nadja Gaedicke,pay-off artist,Binoculers / Every Seaman
2019.07.08,LS00009,,,-21.57,expense,Labelship,pay-off Labelship,Binoculers / Every Seaman
2019.07.08,LS00004,,,-23.47,expense,Nadja Gaedicke,pay-off artist,Emmy Moll / All The Monsters
2019.07.08,LS00004,,,-23.47,expense,Labelship,pay-off Labelship,Emmy Moll / All The Monsters
