RELEASE_ID,AS_OF_DATE,BALANCE,CDS,LPS
LS00015,2016-12-31,-594.14144,221,0
LS00014,2016-12-31,-399.63876,0,19
LS00017,2016-12-31,140.67584,36,0
LS00011,2016-12-31,-175.70868,202,0
LS00010,2016-12-31,30.24,2,0
LS00013,2016-12-31,235.58,18,0
LS00012,2016-12-31,-1171.47,3,0
LS00019,2016-12-31,0.0,0,0
LS00018,2016-12-31,0.00451999999996,58,0
LS00051,2016-12-31,0.0,0,0
LS00020,2016-12-31,7.13,18,23
LS00039,2016-12-31,-1161.9904,-63,37
LS00038,2016-12-31,114.13874,116,119
LS00021,2016-12-31,62.45584,16,0
LS00033,2016-12-31,21.18924,29,0
LS00032,2016-12-31,-0.0018,0,64
LS00031,2016-12-31,149.17,0,0
LS00030,2016-12-31,80.59452,30,0
LS00037,2016-12-31,-0.00444589999998,261,0
LS00036,2016-12-31,251.72169,25,0
LS00035,2016-12-31,46.75584,24,18
LS00034,2016-12-31,10.25,0,0
LS00023,2016-12-31,-0.000650000001428,104,0
LS00024,2016-12-31,282.67,101,0
LS00025,2016-12-31,11.0,307,0
LS00026,2016-12-31,185.51169,28,0
LS00027,2016-12-31,82.33168,78,0
LS00002,2016-12-31,-66.5061141,502,197
LS00003,2016-12-31,0.0,0,0
LS00001,2016-12-31,-2357.91827,529,407
LS00006,2016-12-31,-909.61588,515,363
LS00007,2016-12-31,-737.96248,425,0
LS00004,2016-12-31,-58.5608,202,254
LS00005,2016-12-31,-2.4299659,91,162
LS00009,2016-12-31,7.13,24,6
LS00028,2016-12-31,25.13,0,0
LS00029,2016-12-31,281.79227,39,0
LS00048,2016-12-31,0.0,0,0
LS00049,2016-12-31,0.0,0,0
LS00046,2016-12-31,1.29,128,0
LS00047,2016-12-31,0.0,0,0
LS00022,2016-12-31,5.77584,6,0
LS00045,2016-12-31,463.8909941,381,0
LS00042,2016-12-31,10.72584,11,0
LS00043,2016-12-31,-0.00132,89,0
LS00040,2016-12-31,9.79,0,0
LS00041,2016-12-31,-386.4559923,577,260
LS00050,2016-12-31,0.0,0,0
LS00053,2016-12-31,0.0,0,0
LS00044,2016-12-31,72.1729441,6,0
LS00052,2016-12-31,0.0,0,0
